dataset,entropy_accuracy,depth_accuracy,accuracy_difference,sequence_length
prom_core_all.txt,72.2,68.56,3.64,70
prom_core_notata.txt,73.92,69.68,4.24,70
prom_core_tata.txt,78.79,79.12,-0.33,70
mouse0.txt,78.77,76.17,2.6,101
mouse1.txt,87.16,85.92,1.24,101
mouse2.txt,86.28,85.06,1.22,101
mouse3.txt,80.75,80.33,0.42,101
mouse4.txt,70.53,67.55,2.98,101
tf0.txt,78.4,76.6,1.8,101
tf1.txt,73.4,73.6,-0.2,101
tf2.txt,77.6,75.9,1.7,101
tf3.txt,72.9,72.3,0.6,101
tf4.txt,87,86.8,0.2,101
prom_300_all.txt,78.53,75.91,2.62,300
prom_300_notata.txt,82.16,78.95,3.21,300
prom_300_tata.txt,66.88,66.23,0.65,300
H3.txt,87.71,86.37,1.34,500
H3K4me1.txt,83.3,83.27,0.03,500
H3K4me2.txt,84.62,84.72,-0.1,500
H3K4me3.txt,89.35,89.43,-0.08,500
H3K9ac.txt,86,85.57,0.43,500
H3K14ac.txt,91.83,91.95,-0.12,500
H3K36me3.txt,89.05,89.08,-0.03,500
H3K79me3.txt,87.79,88.21,-0.42,500
H4.txt,89.05,87.27,1.78,500
H4ac.txt,89.77,89.85,-0.08,500
splice.txt,61.09,61.22,-0.13,400
covid.txt,75.51,75.55,-0.04,1000
