dataset,include_prev_context,gamma,nb_train_iterations,handle_n_setting,ratio_pretrain_train,ensemble_type,num_threads,training_time,test_accuracy,inference_time,peak_memory
H3,False,3.0,10,remove,0.25,entropy,48,808.359,88.24,1.666,653.9
H3K14ac,False,1.0,10,remove,0.1,depth,48,1800.004,92.19,3.538,1036.9
H3K36me3,False,0.5,10,remove,0.25,entropy,48,1877.774,89.36,3.836,1047.9
H3K4me1,False,3.0,10,remove,0.25,depth,48,1726.101,83.14,3.430,945.2
H3K4me2,False,0.1,10,remove,0.25,depth,48,1670.519,84.75,3.350,1019.5
H3K4me3,False,0.33,10,remove,0.0,depth,48,1992.006,88.99,3.961,1047.2
H3K79me3,True,5.0,7,remove,0.25,depth,48,1559.416,89.49,3.104,876.4
H3K9ac,True,1.0,7,remove,0.25,entropy,48,1495.753,86.79,3.029,839.1
H4,False,5.0,5,remove,0.0,depth,48,781.545,86.17,1.594,599.6
H4ac,True,0.33,10,remove,0.25,depth,48,1848.394,90.03,3.733,1046.0
covid,True,0.1,10,remove,0.1,entropy,48,25430.402,74.49,65.160,2461.3
mouse0,True,5.0,10,remove,0.0,entropy,48,182.449,76.54,0.371,348.5
mouse1,True,5.0,3,remove,0.1,entropy,48,1378.090,85.81,2.816,613.4
mouse2,False,3.0,1,remove,0.1,entropy,48,92.051,83.54,0.157,345.4
mouse3,True,0.75,7,remove,0.1,depth,48,77.359,75.31,0.118,345.5
mouse4,True,5.0,10,remove,0.0,entropy,48,408.173,68.03,0.852,389.3
prom_300_all,False,0.5,1,remove,0.0,depth,48,2174.329,74.76,4.159,871.2
prom_300_notata,False,0.5,1,remove,0.0,depth,48,1960.555,78.09,3.728,862.5
prom_300_tata,True,3.0,10,remove,0.0,depth,48,242.986,63.62,0.525,381.1
prom_core_all,True,3.0,1,remove,0.0,entropy,48,1061.424,72.21,2.160,445.4
prom_core_notata,False,3.0,1,remove,0.0,entropy,48,963.661,73.96,1.935,424.5
prom_core_tata,False,5.0,3,remove,0.25,entropy,48,132.555,78.47,0.235,346.6
splice,True,5.0,10,remove,0.25,depth,48,2337.922,61.40,4.804,1027.4
tf0,True,5.0,7,remove,0.1,entropy,48,320.671,80.50,0.461,472.0
tf1,True,3.0,10,remove,0.0,depth,48,316.144,79.80,0.448,463.6
tf2,True,5.0,3,remove,0.1,entropy,48,266.724,77.10,0.446,413.0
tf3,False,5.0,10,remove,0.25,depth,48,304.466,69.40,0.454,463.0
tf4,False,3.0,7,remove,0.1,depth,48,265.702,83.60,0.445,413.2
