dataset,include_prev_context,gamma,nb_train_iterations,handle_n_setting,ratio_pretrain_train,ensemble_type,num_threads,training_time,test_accuracy,inference_time,peak_memory
H3,False,3.0,5,remove,0.0,entropy,64,52.210,87.64,1.622,537.8
H3K14ac,False,0.75,7,remove,0.0,entropy,64,123.520,92.50,3.497,826.5
H3K36me3,False,0.75,10,remove,0.0,entropy,64,141.585,89.28,3.823,988.7
H3K4me1,False,0.75,10,remove,0.0,entropy,64,126.621,83.18,3.412,964.5
H3K4me2,False,1.0,10,remove,0.0,entropy,64,122.596,84.42,3.262,983.0
H3K4me3,False,0.1,10,remove,0.0,entropy,64,148.470,88.78,3.962,985.7
H3K79me3,False,5.0,10,remove,0.0,entropy,64,114.569,88.70,3.105,921.5
H3K9ac,False,0.1,10,remove,0.0,entropy,64,111.437,86.79,2.988,930.3
H4,False,5.0,5,remove,0.0,entropy,64,50.884,88.77,1.566,534.0
H4ac,False,0.75,10,remove,0.0,entropy,64,137.715,89.88,3.739,983.7
covid,False,0.1,10,remove,0.0,entropy,64,2015.625,72.20,63.275,1498.8
mouse0,False,5.0,5,remove,0.0,entropy,64,10.465,75.19,0.364,280.3
mouse1,False,5.0,5,remove,0.0,entropy,64,75.359,85.10,2.869,547.2
mouse2,False,3.0,5,remove,0.0,entropy,64,5.312,85.98,0.162,258.1
mouse3,False,5.0,10,remove,0.0,entropy,64,4.288,76.99,0.126,258.5
mouse4,False,5.0,5,remove,0.0,entropy,64,22.041,68.83,0.809,340.3
prom_300_all,False,3.0,1,remove,0.0,entropy,64,128.861,78.72,4.174,829.6
prom_300_notata,False,3.0,1,remove,0.0,entropy,64,115.363,81.36,3.762,815.3
prom_300_tata,False,3.0,10,remove,0.0,entropy,64,16.643,64.27,0.570,384.9
prom_core_all,False,5.0,1,remove,0.0,entropy,64,53.303,71.88,2.144,405.3
prom_core_notata,False,3.0,1,remove,0.0,entropy,64,47.921,73.96,1.917,400.0
prom_core_tata,False,3.0,3,remove,0.0,entropy,64,7.310,75.04,0.298,259.5
splice,False,5.0,10,remove,0.0,entropy,64,175.487,62.47,4.824,1030.7
tf0,False,5.0,5,remove,0.0,entropy,64,37.674,80.00,0.454,394.8
tf1,False,3.0,7,remove,0.0,entropy,64,37.544,82.40,0.527,457.6
tf2,False,3.0,10,remove,0.0,entropy,64,26.210,78.90,0.453,393.6
tf3,False,3.0,10,remove,0.0,entropy,64,36.290,71.20,0.467,461.9
tf4,False,5.0,10,remove,0.0,entropy,64,25.940,86.00,0.465,393.3
