-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, False, remove, 0.0, entropy, 48, 5.339, 80.91
1, 0.1, False, remove, 0.0, depth, 48, 8.695, 80.67
1, 0.5, False, remove, 0.0, entropy, 48, 12.166, 81.85
1, 0.5, False, remove, 0.0, depth, 48, 15.569, 80.79
1, 0.33, False, remove, 0.0, entropy, 48, 18.965, 81.54
1, 0.33, False, remove, 0.0, depth, 48, 22.388, 80.94
1, 0.75, False, remove, 0.0, entropy, 48, 25.832, 81.36
1, 0.75, False, remove, 0.0, depth, 48, 29.176, 80.97
1, 1.0, False, remove, 0.0, entropy, 48, 32.613, 81.15
1, 1.0, False, remove, 0.0, depth, 48, 35.975, 80.61
1, 3.0, False, remove, 0.0, entropy, 48, 39.341, 78.37
1, 3.0, False, remove, 0.0, depth, 48, 42.708, 80.30
1, 5.0, False, remove, 0.0, entropy, 48, 46.109, 76.43
1, 5.0, False, remove, 0.0, depth, 48, 49.496, 79.33
3, 0.1, False, remove, 0.0, entropy, 48, 8.162, 89.02
3, 0.1, False, remove, 0.0, depth, 48, 11.717, 89.14
3, 0.5, False, remove, 0.0, entropy, 48, 15.250, 88.96
3, 0.5, False, remove, 0.0, depth, 48, 18.706, 88.99
3, 0.33, False, remove, 0.0, entropy, 48, 22.301, 88.99
3, 0.33, False, remove, 0.0, depth, 48, 25.750, 89.17
3, 0.75, False, remove, 0.0, entropy, 48, 29.284, 88.56
3, 0.75, False, remove, 0.0, depth, 48, 32.806, 88.90
3, 1.0, False, remove, 0.0, entropy, 48, 36.319, 88.35
3, 1.0, False, remove, 0.0, depth, 48, 39.794, 88.74
3, 3.0, False, remove, 0.0, entropy, 48, 43.341, 87.47
3, 3.0, False, remove, 0.0, depth, 48, 46.831, 88.50
3, 5.0, False, remove, 0.0, entropy, 48, 50.325, 85.66
3, 5.0, False, remove, 0.0, depth, 48, 53.744, 87.78
5, 0.1, False, remove, 0.0, entropy, 48, 8.667, 91.01
5, 0.1, False, remove, 0.0, depth, 48, 12.156, 90.89
5, 0.5, False, remove, 0.0, entropy, 48, 15.727, 90.68
5, 0.5, False, remove, 0.0, depth, 48, 19.230, 90.74
5, 0.33, False, remove, 0.0, entropy, 48, 22.835, 90.83
5, 0.33, False, remove, 0.0, depth, 48, 26.338, 90.86
5, 0.75, False, remove, 0.0, entropy, 48, 29.931, 90.53
5, 0.75, False, remove, 0.0, depth, 48, 33.529, 90.50
5, 1.0, False, remove, 0.0, entropy, 48, 37.161, 90.17
5, 1.0, False, remove, 0.0, depth, 48, 40.717, 90.62
5, 3.0, False, remove, 0.0, entropy, 48, 44.325, 89.29
5, 3.0, False, remove, 0.0, depth, 48, 47.861, 89.74
5, 5.0, False, remove, 0.0, entropy, 48, 51.514, 88.53
5, 5.0, False, remove, 0.0, depth, 48, 55.180, 89.23
7, 0.1, False, remove, 0.0, entropy, 48, 9.045, 91.41
7, 0.1, False, remove, 0.0, depth, 48, 12.626, 91.26
7, 0.5, False, remove, 0.0, entropy, 48, 16.236, 91.62
7, 0.5, False, remove, 0.0, depth, 48, 19.824, 91.59
7, 0.33, False, remove, 0.0, entropy, 48, 23.479, 91.59
7, 0.33, False, remove, 0.0, depth, 48, 27.015, 91.53
7, 0.75, False, remove, 0.0, entropy, 48, 30.691, 91.80
7, 0.75, False, remove, 0.0, depth, 48, 34.244, 91.59
7, 1.0, False, remove, 0.0, entropy, 48, 37.869, 91.62
7, 1.0, False, remove, 0.0, depth, 48, 41.487, 91.47
7, 3.0, False, remove, 0.0, entropy, 48, 45.157, 90.29
7, 3.0, False, remove, 0.0, depth, 48, 48.718, 90.89
7, 5.0, False, remove, 0.0, entropy, 48, 52.348, 89.89
7, 5.0, False, remove, 0.0, depth, 48, 55.919, 90.35
10, 0.1, False, remove, 0.0, entropy, 48, 11.958, 91.53
