-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, False, remove, 0.0, depth, 48, 0.468, 69.38
1, 0.1, False, remove, 0.0, entropy, 48, 0.830, 70.62
1, 0.5, False, remove, 0.0, depth, 48, 1.258, 69.88
1, 0.5, False, remove, 0.0, entropy, 48, 1.627, 71.98
1, 0.33, False, remove, 0.0, depth, 48, 1.979, 69.75
1, 0.33, False, remove, 0.0, entropy, 48, 2.326, 71.48
1, 0.75, False, remove, 0.0, depth, 48, 2.679, 70.62
1, 0.75, False, remove, 0.0, entropy, 48, 3.070, 72.96
1, 1.0, False, remove, 0.0, depth, 48, 3.431, 70.86
1, 1.0, False, remove, 0.0, entropy, 48, 3.817, 73.46
1, 3.0, False, remove, 0.0, depth, 48, 4.187, 71.98
1, 3.0, False, remove, 0.0, entropy, 48, 4.547, 74.20
1, 5.0, False, remove, 0.0, depth, 48, 4.935, 71.73
1, 5.0, False, remove, 0.0, entropy, 48, 5.286, 74.69
3, 0.1, False, remove, 0.0, depth, 48, 0.629, 70.62
3, 0.1, False, remove, 0.0, entropy, 48, 1.007, 72.22
3, 0.5, False, remove, 0.0, depth, 48, 1.360, 71.73
3, 0.5, False, remove, 0.0, entropy, 48, 1.758, 72.84
3, 0.33, False, remove, 0.0, depth, 48, 2.125, 71.85
3, 0.33, False, remove, 0.0, entropy, 48, 2.484, 71.98
3, 0.75, False, remove, 0.0, depth, 48, 2.847, 71.98
3, 0.75, False, remove, 0.0, entropy, 48, 3.198, 72.96
3, 1.0, False, remove, 0.0, depth, 48, 3.594, 72.72
3, 1.0, False, remove, 0.0, entropy, 48, 3.940, 74.44
3, 3.0, False, remove, 0.0, depth, 48, 4.290, 73.33
3, 3.0, False, remove, 0.0, entropy, 48, 4.646, 76.30
3, 5.0, False, remove, 0.0, depth, 48, 5.045, 73.46
3, 5.0, False, remove, 0.0, entropy, 48, 5.421, 77.28
5, 0.1, False, remove, 0.0, depth, 48, 0.635, 72.47
5, 0.1, False, remove, 0.0, entropy, 48, 0.980, 72.47
5, 0.5, False, remove, 0.0, depth, 48, 1.333, 73.46
5, 0.5, False, remove, 0.0, entropy, 48, 1.695, 73.95
5, 0.33, False, remove, 0.0, depth, 48, 2.060, 72.96
5, 0.33, False, remove, 0.0, entropy, 48, 2.455, 73.46
5, 0.75, False, remove, 0.0, depth, 48, 2.819, 73.70
5, 0.75, False, remove, 0.0, entropy, 48, 3.178, 74.57
5, 1.0, False, remove, 0.0, depth, 48, 3.537, 73.46
5, 1.0, False, remove, 0.0, entropy, 48, 3.901, 75.68
5, 3.0, False, remove, 0.0, depth, 48, 4.265, 75.19
5, 3.0, False, remove, 0.0, entropy, 48, 4.630, 77.78
5, 5.0, False, remove, 0.0, depth, 48, 4.995, 75.06
5, 5.0, False, remove, 0.0, entropy, 48, 5.382, 78.27
7, 0.1, False, remove, 0.0, depth, 48, 0.728, 71.60
7, 0.1, False, remove, 0.0, entropy, 48, 1.094, 72.22
7, 0.5, False, remove, 0.0, depth, 48, 1.472, 72.59
7, 0.5, False, remove, 0.0, entropy, 48, 1.832, 74.81
7, 0.33, False, remove, 0.0, depth, 48, 2.203, 72.10
7, 0.33, False, remove, 0.0, entropy, 48, 2.573, 74.44
7, 0.75, False, remove, 0.0, depth, 48, 2.942, 72.47
7, 0.75, False, remove, 0.0, entropy, 48, 3.331, 75.19
7, 1.0, False, remove, 0.0, depth, 48, 3.710, 72.72
7, 1.0, False, remove, 0.0, entropy, 48, 4.114, 75.43
7, 3.0, False, remove, 0.0, depth, 48, 4.511, 74.20
7, 3.0, False, remove, 0.0, entropy, 48, 4.889, 77.28
7, 5.0, False, remove, 0.0, depth, 48, 5.265, 75.06
7, 5.0, False, remove, 0.0, entropy, 48, 5.661, 77.28
10, 0.1, False, remove, 0.0, depth, 48, 0.818, 71.11
10, 0.1, False, remove, 0.0, entropy, 48, 1.196, 72.10
10, 0.5, False, remove, 0.0, depth, 48, 1.561, 71.98
10, 0.5, False, remove, 0.0, entropy, 48, 1.928, 73.83
10, 0.33, False, remove, 0.0, depth, 48, 2.316, 71.85
10, 0.33, False, remove, 0.0, entropy, 48, 2.709, 72.84
10, 0.75, False, remove, 0.0, depth, 48, 3.079, 72.72
10, 0.75, False, remove, 0.0, entropy, 48, 3.446, 75.43
10, 1.0, False, remove, 0.0, depth, 48, 3.814, 73.09
10, 1.0, False, remove, 0.0, entropy, 48, 4.191, 75.80
