-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, False, remove, 0.0, depth, 48, 0.312, 68.52
1, 0.1, False, remove, 0.0, entropy, 48, 0.552, 71.29
1, 0.5, False, remove, 0.0, depth, 48, 0.837, 71.62
1, 0.5, False, remove, 0.0, entropy, 48, 1.110, 73.57
1, 0.33, False, remove, 0.0, depth, 48, 1.353, 70.64
1, 0.33, False, remove, 0.0, entropy, 48, 1.648, 73.08
1, 0.75, False, remove, 0.0, depth, 48, 1.891, 74.06
1, 0.75, False, remove, 0.0, entropy, 48, 2.188, 74.39
1, 1.0, False, remove, 0.0, depth, 48, 2.487, 74.06
1, 1.0, False, remove, 0.0, entropy, 48, 2.776, 74.55
1, 3.0, False, remove, 0.0, depth, 48, 3.070, 76.35
1, 3.0, False, remove, 0.0, entropy, 48, 3.308, 77.49
1, 5.0, False, remove, 0.0, depth, 48, 3.553, 76.84
1, 5.0, False, remove, 0.0, entropy, 48, 3.795, 77.32
3, 0.1, False, remove, 0.0, depth, 48, 0.442, 71.45
3, 0.1, False, remove, 0.0, entropy, 48, 0.691, 72.10
3, 0.5, False, remove, 0.0, depth, 48, 0.993, 75.04
3, 0.5, False, remove, 0.0, entropy, 48, 1.239, 75.37
3, 0.33, False, remove, 0.0, depth, 48, 1.527, 73.25
3, 0.33, False, remove, 0.0, entropy, 48, 1.814, 74.71
3, 0.75, False, remove, 0.0, depth, 48, 2.063, 75.53
3, 0.75, False, remove, 0.0, entropy, 48, 2.309, 75.86
3, 1.0, False, remove, 0.0, depth, 48, 2.603, 76.84
3, 1.0, False, remove, 0.0, entropy, 48, 2.892, 77.32
3, 3.0, False, remove, 0.0, depth, 48, 3.199, 79.45
3, 3.0, False, remove, 0.0, entropy, 48, 3.440, 78.63
3, 5.0, False, remove, 0.0, depth, 48, 3.687, 80.10
3, 5.0, False, remove, 0.0, entropy, 48, 3.930, 78.30
5, 0.1, False, remove, 0.0, depth, 48, 0.411, 71.78
5, 0.1, False, remove, 0.0, entropy, 48, 0.656, 72.59
5, 0.5, False, remove, 0.0, depth, 48, 0.907, 72.92
5, 0.5, False, remove, 0.0, entropy, 48, 1.198, 73.74
5, 0.33, False, remove, 0.0, depth, 48, 1.443, 72.43
5, 0.33, False, remove, 0.0, entropy, 48, 1.686, 73.25
5, 0.75, False, remove, 0.0, depth, 48, 1.979, 73.41
5, 0.75, False, remove, 0.0, entropy, 48, 2.222, 73.57
5, 1.0, False, remove, 0.0, depth, 48, 2.473, 74.06
5, 1.0, False, remove, 0.0, entropy, 48, 2.718, 73.57
5, 3.0, False, remove, 0.0, depth, 48, 3.028, 76.35
5, 3.0, False, remove, 0.0, entropy, 48, 3.319, 77.49
5, 5.0, False, remove, 0.0, depth, 48, 3.569, 78.14
5, 5.0, False, remove, 0.0, entropy, 48, 3.815, 78.14
7, 0.1, False, remove, 0.0, depth, 48, 0.412, 72.92
7, 0.1, False, remove, 0.0, entropy, 48, 0.652, 72.76
7, 0.5, False, remove, 0.0, depth, 48, 0.902, 72.76
7, 0.5, False, remove, 0.0, entropy, 48, 1.154, 74.88
7, 0.33, False, remove, 0.0, depth, 48, 1.404, 72.10
7, 0.33, False, remove, 0.0, entropy, 48, 1.706, 73.57
7, 0.75, False, remove, 0.0, depth, 48, 2.050, 74.88
7, 0.75, False, remove, 0.0, entropy, 48, 2.302, 74.88
7, 1.0, False, remove, 0.0, depth, 48, 2.616, 74.88
7, 1.0, False, remove, 0.0, entropy, 48, 2.915, 75.53
7, 3.0, False, remove, 0.0, depth, 48, 3.222, 76.67
7, 3.0, False, remove, 0.0, entropy, 48, 3.519, 76.51
7, 5.0, False, remove, 0.0, depth, 48, 3.846, 77.65
7, 5.0, False, remove, 0.0, entropy, 48, 4.142, 77.81
10, 0.1, False, remove, 0.0, depth, 48, 0.504, 69.66
10, 0.1, False, remove, 0.0, entropy, 48, 0.757, 70.15
10, 0.5, False, remove, 0.0, depth, 48, 1.051, 71.45
10, 0.5, False, remove, 0.0, entropy, 48, 1.338, 72.92
10, 0.33, False, remove, 0.0, depth, 48, 1.601, 70.64
10, 0.33, False, remove, 0.0, entropy, 48, 1.898, 72.10
10, 0.75, False, remove, 0.0, depth, 48, 2.209, 72.76
10, 0.75, False, remove, 0.0, entropy, 48, 2.495, 74.06
10, 1.0, False, remove, 0.0, depth, 48, 2.751, 73.41
10, 1.0, False, remove, 0.0, entropy, 48, 3.017, 74.55
10, 3.0, False, remove, 0.0, depth, 48, 3.321, 76.84
10, 3.0, False, remove, 0.0, entropy, 48, 3.615, 75.53
10, 5.0, False, remove, 0.0, depth, 48, 3.914, 78.14
10, 5.0, False, remove, 0.0, entropy, 48, 4.192, 76.84
1, 0.1, False, remove, 0.25, depth, 48, 0.313, 69.17
1, 0.1, False, remove, 0.25, entropy, 48, 0.580, 70.64
1, 0.5, False, remove, 0.25, depth, 48, 0.832, 73.25
1, 0.5, False, remove, 0.25, entropy, 48, 1.125, 73.08
1, 0.33, False, remove, 0.25, depth, 48, 1.416, 72.59
1, 0.33, False, remove, 0.25, entropy, 48, 1.699, 73.08
1, 0.75, False, remove, 0.25, depth, 48, 1.978, 74.06
1, 0.75, False, remove, 0.25, entropy, 48, 2.246, 73.25
1, 1.0, False, remove, 0.25, depth, 48, 2.501, 74.71
1, 1.0, False, remove, 0.25, entropy, 48, 2.793, 73.74
1, 3.0, False, remove, 0.25, depth, 48, 3.081, 75.37
1, 3.0, False, remove, 0.25, entropy, 48, 3.366, 76.67
1, 5.0, False, remove, 0.25, depth, 48, 3.616, 77.49
1, 5.0, False, remove, 0.25, entropy, 48, 3.953, 77.98
3, 0.1, False, remove, 0.25, depth, 48, 0.481, 69.49
3, 0.1, False, remove, 0.25, entropy, 48, 0.764, 69.98
3, 0.5, False, remove, 0.25, depth, 48, 1.019, 72.43
3, 0.5, False, remove, 0.25, entropy, 48, 1.305, 73.74
3, 0.33, False, remove, 0.25, depth, 48, 1.602, 71.13
3, 0.33, False, remove, 0.25, entropy, 48, 1.896, 72.43
3, 0.75, False, remove, 0.25, depth, 48, 2.191, 72.76
3, 0.75, False, remove, 0.25, entropy, 48, 2.508, 74.55
3, 1.0, False, remove, 0.25, depth, 48, 2.777, 73.90
3, 1.0, False, remove, 0.25, entropy, 48, 3.065, 75.69
3, 3.0, False, remove, 0.25, depth, 48, 3.356, 77.32
3, 3.0, False, remove, 0.25, entropy, 48, 3.604, 78.47
