-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, False, remove, 0.0, entropy, 48, 0.999, 77.30
1, 0.1, False, remove, 0.0, depth, 48, 1.428, 76.10
1, 0.5, False, remove, 0.0, entropy, 48, 1.878, 79.70
1, 0.5, False, remove, 0.0, depth, 48, 2.324, 77.70
1, 0.33, False, remove, 0.0, entropy, 48, 2.767, 78.80
1, 0.33, False, remove, 0.0, depth, 48, 3.200, 77.10
1, 0.75, False, remove, 0.0, entropy, 48, 3.658, 80.40
1, 0.75, False, remove, 0.0, depth, 48, 4.091, 79.10
1, 1.0, False, remove, 0.0, entropy, 48, 4.563, 80.30
1, 1.0, False, remove, 0.0, depth, 48, 4.999, 79.10
1, 3.0, False, remove, 0.0, entropy, 48, 5.486, 79.20
1, 3.0, False, remove, 0.0, depth, 48, 5.956, 79.90
1, 5.0, False, remove, 0.0, entropy, 48, 6.437, 78.60
1, 5.0, False, remove, 0.0, depth, 48, 6.920, 79.10
3, 0.1, False, remove, 0.0, entropy, 48, 1.266, 81.60
3, 0.1, False, remove, 0.0, depth, 48, 1.705, 81.50
3, 0.5, False, remove, 0.0, entropy, 48, 2.182, 83.10
3, 0.5, False, remove, 0.0, depth, 48, 2.615, 82.10
3, 0.33, False, remove, 0.0, entropy, 48, 3.068, 82.50
3, 0.33, False, remove, 0.0, depth, 48, 3.515, 82.00
3, 0.75, False, remove, 0.0, entropy, 48, 3.965, 83.50
3, 0.75, False, remove, 0.0, depth, 48, 4.416, 82.20
3, 1.0, False, remove, 0.0, entropy, 48, 4.870, 83.40
3, 1.0, False, remove, 0.0, depth, 48, 5.305, 82.10
3, 3.0, False, remove, 0.0, entropy, 48, 5.806, 83.00
3, 3.0, False, remove, 0.0, depth, 48, 6.313, 83.30
3, 5.0, False, remove, 0.0, entropy, 48, 6.812, 81.70
3, 5.0, False, remove, 0.0, depth, 48, 7.269, 83.50
5, 0.1, False, remove, 0.0, entropy, 48, 1.346, 83.40
5, 0.1, False, remove, 0.0, depth, 48, 1.780, 82.70
5, 0.5, False, remove, 0.0, entropy, 48, 2.284, 83.90
5, 0.5, False, remove, 0.0, depth, 48, 2.731, 83.30
5, 0.33, False, remove, 0.0, entropy, 48, 3.198, 84.10
5, 0.33, False, remove, 0.0, depth, 48, 3.662, 83.30
5, 0.75, False, remove, 0.0, entropy, 48, 4.126, 84.10
5, 0.75, False, remove, 0.0, depth, 48, 4.582, 83.80
5, 1.0, False, remove, 0.0, entropy, 48, 5.041, 84.40
5, 1.0, False, remove, 0.0, depth, 48, 5.523, 84.00
5, 3.0, False, remove, 0.0, entropy, 48, 5.973, 83.90
5, 3.0, False, remove, 0.0, depth, 48, 6.431, 84.70
5, 5.0, False, remove, 0.0, entropy, 48, 6.897, 83.90
5, 5.0, False, remove, 0.0, depth, 48, 7.335, 84.80
7, 0.1, False, remove, 0.0, entropy, 48, 1.368, 83.30
7, 0.1, False, remove, 0.0, depth, 48, 1.804, 82.80
7, 0.5, False, remove, 0.0, entropy, 48, 2.294, 84.70
7, 0.5, False, remove, 0.0, depth, 48, 2.735, 84.50
7, 0.33, False, remove, 0.0, entropy, 48, 3.196, 84.40
7, 0.33, False, remove, 0.0, depth, 48, 3.635, 83.70
7, 0.75, False, remove, 0.0, entropy, 48, 4.114, 85.10
7, 0.75, False, remove, 0.0, depth, 48, 4.553, 85.00
7, 1.0, False, remove, 0.0, entropy, 48, 5.007, 85.40
7, 1.0, False, remove, 0.0, depth, 48, 5.446, 85.20
7, 3.0, False, remove, 0.0, entropy, 48, 5.906, 86.00
7, 3.0, False, remove, 0.0, depth, 48, 6.400, 86.40
7, 5.0, False, remove, 0.0, entropy, 48, 6.939, 85.60
7, 5.0, False, remove, 0.0, depth, 48, 7.369, 86.70
10, 0.1, False, remove, 0.0, entropy, 48, 1.838, 83.50
10, 0.1, False, remove, 0.0, depth, 48, 2.289, 83.30
10, 0.5, False, remove, 0.0, entropy, 48, 2.762, 84.40
10, 0.5, False, remove, 0.0, depth, 48, 3.210, 84.40
10, 0.33, False, remove, 0.0, entropy, 48, 3.671, 84.30
10, 0.33, False, remove, 0.0, depth, 48, 4.114, 83.90
10, 0.75, False, remove, 0.0, entropy, 48, 4.591, 85.20
10, 0.75, False, remove, 0.0, depth, 48, 5.033, 84.50
10, 1.0, False, remove, 0.0, entropy, 48, 5.486, 85.60
10, 1.0, False, remove, 0.0, depth, 48, 5.921, 84.80
10, 3.0, False, remove, 0.0, entropy, 48, 6.422, 86.10
10, 3.0, False, remove, 0.0, depth, 48, 6.871, 85.40
10, 5.0, False, remove, 0.0, entropy, 48, 7.321, 86.30
10, 5.0, False, remove, 0.0, depth, 48, 7.758, 85.70
1, 0.1, False, remove, 0.25, entropy, 48, 0.810, 79.50
1, 0.1, False, remove, 0.25, depth, 48, 1.252, 79.30
1, 0.5, False, remove, 0.25, entropy, 48, 1.697, 81.50
1, 0.5, False, remove, 0.25, depth, 48, 2.122, 80.80
1, 0.33, False, remove, 0.25, entropy, 48, 2.555, 80.90
1, 0.33, False, remove, 0.25, depth, 48, 2.986, 80.30
1, 0.75, False, remove, 0.25, entropy, 48, 3.439, 80.60
1, 0.75, False, remove, 0.25, depth, 48, 3.876, 81.10
1, 1.0, False, remove, 0.25, entropy, 48, 4.349, 80.80
1, 1.0, False, remove, 0.25, depth, 48, 4.778, 80.60
1, 3.0, False, remove, 0.25, entropy, 48, 5.270, 80.80
1, 3.0, False, remove, 0.25, depth, 48, 5.745, 81.50
1, 5.0, False, remove, 0.25, entropy, 48, 6.201, 81.20
1, 5.0, False, remove, 0.25, depth, 48, 6.642, 81.40
3, 0.1, False, remove, 0.25, entropy, 48, 1.265, 83.00
3, 0.1, False, remove, 0.25, depth, 48, 1.690, 82.40
3, 0.5, False, remove, 0.25, entropy, 48, 2.147, 83.80
3, 0.5, False, remove, 0.25, depth, 48, 2.589, 83.70
3, 0.33, False, remove, 0.25, entropy, 48, 3.050, 83.70
3, 0.33, False, remove, 0.25, depth, 48, 3.480, 83.00
3, 0.75, False, remove, 0.25, entropy, 48, 3.927, 83.90
3, 0.75, False, remove, 0.25, depth, 48, 4.373, 83.60
3, 1.0, False, remove, 0.25, entropy, 48, 4.826, 83.50
3, 1.0, False, remove, 0.25, depth, 48, 5.298, 83.60
3, 3.0, False, remove, 0.25, entropy, 48, 5.743, 82.90
3, 3.0, False, remove, 0.25, depth, 48, 6.202, 83.10
3, 5.0, False, remove, 0.25, entropy, 48, 6.650, 82.10
3, 5.0, False, remove, 0.25, depth, 48, 7.081, 83.30
5, 0.1, False, remove, 0.25, entropy, 48, 1.310, 84.40
5, 0.1, False, remove, 0.25, depth, 48, 1.744, 84.40
5, 0.5, False, remove, 0.25, entropy, 48, 2.205, 84.60
5, 0.5, False, remove, 0.25, depth, 48, 2.638, 85.00
5, 0.33, False, remove, 0.25, entropy, 48, 3.080, 84.70
5, 0.33, False, remove, 0.25, depth, 48, 3.541, 85.00
5, 0.75, False, remove, 0.25, entropy, 48, 4.005, 84.90
5, 0.75, False, remove, 0.25, depth, 48, 4.435, 84.90
5, 1.0, False, remove, 0.25, entropy, 48, 4.935, 85.20
5, 1.0, False, remove, 0.25, depth, 48, 5.358, 84.90
5, 3.0, False, remove, 0.25, entropy, 48, 5.837, 84.30
5, 3.0, False, remove, 0.25, depth, 48, 6.273, 85.70
5, 5.0, False, remove, 0.25, entropy, 48, 6.718, 83.50
5, 5.0, False, remove, 0.25, depth, 48, 7.149, 85.40
7, 0.1, False, remove, 0.25, entropy, 48, 1.394, 84.50
7, 0.1, False, remove, 0.25, depth, 48, 1.853, 84.60
7, 0.5, False, remove, 0.25, entropy, 48, 2.322, 84.90
7, 0.5, False, remove, 0.25, depth, 48, 2.799, 84.80
7, 0.33, False, remove, 0.25, entropy, 48, 3.253, 84.70
7, 0.33, False, remove, 0.25, depth, 48, 3.717, 84.40
7, 0.75, False, remove, 0.25, entropy, 48, 4.165, 85.40
7, 0.75, False, remove, 0.25, depth, 48, 4.711, 85.00
7, 1.0, False, remove, 0.25, entropy, 48, 5.186, 85.40
7, 1.0, False, remove, 0.25, depth, 48, 5.626, 85.10
7, 3.0, False, remove, 0.25, entropy, 48, 6.075, 85.40
7, 3.0, False, remove, 0.25, depth, 48, 6.525, 85.20
7, 5.0, False, remove, 0.25, entropy, 48, 6.989, 85.30
7, 5.0, False, remove, 0.25, depth, 48, 7.425, 85.70
10, 0.1, False, remove, 0.25, entropy, 48, 1.800, 83.90
10, 0.1, False, remove, 0.25, depth, 48, 2.247, 83.90
10, 0.5, False, remove, 0.25, entropy, 48, 2.721, 85.30
10, 0.5, False, remove, 0.25, depth, 48, 3.177, 84.30
10, 0.33, False, remove, 0.25, entropy, 48, 3.649, 84.70
10, 0.33, False, remove, 0.25, depth, 48, 4.099, 83.90
10, 0.75, False, remove, 0.25, entropy, 48, 4.547, 85.30
10, 0.75, False, remove, 0.25, depth, 48, 4.985, 84.80
10, 1.0, False, remove, 0.25, entropy, 48, 5.451, 85.40
10, 1.0, False, remove, 0.25, depth, 48, 5.949, 85.50
10, 3.0, False, remove, 0.25, entropy, 48, 6.416, 85.30
10, 3.0, False, remove, 0.25, depth, 48, 6.910, 85.70
10, 5.0, False, remove, 0.25, entropy, 48, 7.379, 85.80
10, 5.0, False, remove, 0.25, depth, 48, 7.829, 86.10
1, 0.1, False, remove, 0.1, entropy, 48, 0.815, 79.50
1, 0.1, False, remove, 0.1, depth, 48, 1.255, 78.00
1, 0.5, False, remove, 0.1, entropy, 48, 1.718, 80.00
1, 0.5, False, remove, 0.1, depth, 48, 2.155, 79.50
1, 0.33, False, remove, 0.1, entropy, 48, 2.594, 79.70
1, 0.33, False, remove, 0.1, depth, 48, 3.025, 78.90
1, 0.75, False, remove, 0.1, entropy, 48, 3.499, 80.50
1, 0.75, False, remove, 0.1, depth, 48, 3.978, 79.40
1, 1.0, False, remove, 0.1, entropy, 48, 4.440, 80.90
1, 1.0, False, remove, 0.1, depth, 48, 4.897, 79.30
1, 3.0, False, remove, 0.1, entropy, 48, 5.345, 80.70
1, 3.0, False, remove, 0.1, depth, 48, 5.783, 80.90
1, 5.0, False, remove, 0.1, entropy, 48, 6.237, 80.30
1, 5.0, False, remove, 0.1, depth, 48, 6.668, 81.00
3, 0.1, False, remove, 0.1, entropy, 48, 1.240, 83.60
3, 0.1, False, remove, 0.1, depth, 48, 1.677, 82.70
3, 0.5, False, remove, 0.1, entropy, 48, 2.129, 84.20
3, 0.5, False, remove, 0.1, depth, 48, 2.588, 83.90
3, 0.33, False, remove, 0.1, entropy, 48, 3.032, 83.90
3, 0.33, False, remove, 0.1, depth, 48, 3.472, 83.80
3, 0.75, False, remove, 0.1, entropy, 48, 3.968, 84.30
3, 0.75, False, remove, 0.1, depth, 48, 4.404, 84.10
3, 1.0, False, remove, 0.1, entropy, 48, 4.881, 85.10
3, 1.0, False, remove, 0.1, depth, 48, 5.320, 84.10
3, 3.0, False, remove, 0.1, entropy, 48, 5.768, 83.50
3, 3.0, False, remove, 0.1, depth, 48, 6.207, 84.80
3, 5.0, False, remove, 0.1, entropy, 48, 6.661, 83.60
3, 5.0, False, remove, 0.1, depth, 48, 7.108, 84.40
5, 0.1, False, remove, 0.1, entropy, 48, 1.314, 84.40
5, 0.1, False, remove, 0.1, depth, 48, 1.748, 83.60
5, 0.5, False, remove, 0.1, entropy, 48, 2.235, 85.70
5, 0.5, False, remove, 0.1, depth, 48, 2.682, 84.20
5, 0.33, False, remove, 0.1, entropy, 48, 3.134, 85.40
5, 0.33, False, remove, 0.1, depth, 48, 3.637, 84.40
5, 0.75, False, remove, 0.1, entropy, 48, 4.096, 86.00
5, 0.75, False, remove, 0.1, depth, 48, 4.547, 84.70
5, 1.0, False, remove, 0.1, entropy, 48, 4.998, 86.20
5, 1.0, False, remove, 0.1, depth, 48, 5.433, 85.60
5, 3.0, False, remove, 0.1, entropy, 48, 5.887, 85.50
5, 3.0, False, remove, 0.1, depth, 48, 6.332, 85.70
5, 5.0, False, remove, 0.1, entropy, 48, 6.822, 84.70
5, 5.0, False, remove, 0.1, depth, 48, 7.259, 86.00
7, 0.1, False, remove, 0.1, entropy, 48, 1.342, 84.20
7, 0.1, False, remove, 0.1, depth, 48, 1.785, 84.30
7, 0.5, False, remove, 0.1, entropy, 48, 2.281, 85.40
7, 0.5, False, remove, 0.1, depth, 48, 2.785, 85.20
7, 0.33, False, remove, 0.1, entropy, 48, 3.282, 85.20
7, 0.33, False, remove, 0.1, depth, 48, 3.734, 85.00
7, 0.75, False, remove, 0.1, entropy, 48, 4.181, 86.20
7, 0.75, False, remove, 0.1, depth, 48, 4.642, 85.50
7, 1.0, False, remove, 0.1, entropy, 48, 5.094, 86.50
7, 1.0, False, remove, 0.1, depth, 48, 5.548, 86.10
7, 3.0, False, remove, 0.1, entropy, 48, 6.025, 87.00
7, 3.0, False, remove, 0.1, depth, 48, 6.479, 86.80
7, 5.0, False, remove, 0.1, entropy, 48, 6.943, 86.40
7, 5.0, False, remove, 0.1, depth, 48, 7.387, 86.70
10, 0.1, False, remove, 0.1, entropy, 48, 1.809, 84.80
10, 0.1, False, remove, 0.1, depth, 48, 2.243, 85.10
10, 0.5, False, remove, 0.1, entropy, 48, 2.696, 85.50
10, 0.5, False, remove, 0.1, depth, 48, 3.192, 85.50
10, 0.33, False, remove, 0.1, entropy, 48, 3.663, 85.50
10, 0.33, False, remove, 0.1, depth, 48, 4.099, 85.30
10, 0.75, False, remove, 0.1, entropy, 48, 4.550, 85.50
10, 0.75, False, remove, 0.1, depth, 48, 4.996, 85.70
10, 1.0, False, remove, 0.1, entropy, 48, 5.467, 85.70
10, 1.0, False, remove, 0.1, depth, 48, 5.912, 85.50
10, 3.0, False, remove, 0.1, entropy, 48, 6.359, 86.60
10, 3.0, False, remove, 0.1, depth, 48, 6.796, 86.60
10, 5.0, False, remove, 0.1, entropy, 48, 7.240, 86.90
10, 5.0, False, remove, 0.1, depth, 48, 7.683, 86.50
1, 0.1, True, remove, 0.0, entropy, 48, 0.785, 76.30
1, 0.1, True, remove, 0.0, depth, 48, 1.270, 75.00
1, 0.5, True, remove, 0.0, entropy, 48, 1.713, 77.00
1, 0.5, True, remove, 0.0, depth, 48, 2.148, 76.30
1, 0.33, True, remove, 0.0, entropy, 48, 2.596, 76.20
1, 0.33, True, remove, 0.0, depth, 48, 3.035, 76.00
1, 0.75, True, remove, 0.0, entropy, 48, 3.486, 77.60
1, 0.75, True, remove, 0.0, depth, 48, 3.921, 77.10
1, 1.0, True, remove, 0.0, entropy, 48, 4.359, 78.00
1, 1.0, True, remove, 0.0, depth, 48, 4.786, 77.30
1, 3.0, True, remove, 0.0, entropy, 48, 5.230, 78.80
1, 3.0, True, remove, 0.0, depth, 48, 5.663, 78.50
1, 5.0, True, remove, 0.0, entropy, 48, 6.120, 78.10
1, 5.0, True, remove, 0.0, depth, 48, 6.551, 78.50
3, 0.1, True, remove, 0.0, entropy, 48, 1.226, 82.70
3, 0.1, True, remove, 0.0, depth, 48, 1.742, 81.70
3, 0.5, True, remove, 0.0, entropy, 48, 2.200, 83.50
3, 0.5, True, remove, 0.0, depth, 48, 2.630, 83.20
3, 0.33, True, remove, 0.0, entropy, 48, 3.074, 83.20
3, 0.33, True, remove, 0.0, depth, 48, 3.532, 83.00
3, 0.75, True, remove, 0.0, entropy, 48, 3.997, 83.60
3, 0.75, True, remove, 0.0, depth, 48, 4.450, 83.80
3, 1.0, True, remove, 0.0, entropy, 48, 4.897, 83.70
3, 1.0, True, remove, 0.0, depth, 48, 5.351, 83.90
3, 3.0, True, remove, 0.0, entropy, 48, 5.821, 81.80
3, 3.0, True, remove, 0.0, depth, 48, 6.296, 83.00
3, 5.0, True, remove, 0.0, entropy, 48, 6.740, 81.30
3, 5.0, True, remove, 0.0, depth, 48, 7.217, 82.20
5, 0.1, True, remove, 0.0, entropy, 48, 1.432, 84.40
5, 0.1, True, remove, 0.0, depth, 48, 1.890, 83.30
5, 0.5, True, remove, 0.0, entropy, 48, 2.365, 85.30
5, 0.5, True, remove, 0.0, depth, 48, 2.803, 84.10
5, 0.33, True, remove, 0.0, entropy, 48, 3.261, 85.30
5, 0.33, True, remove, 0.0, depth, 48, 3.689, 84.10
5, 0.75, True, remove, 0.0, entropy, 48, 4.154, 85.30
5, 0.75, True, remove, 0.0, depth, 48, 4.606, 84.50
5, 1.0, True, remove, 0.0, entropy, 48, 5.119, 85.10
5, 1.0, True, remove, 0.0, depth, 48, 5.560, 85.10
5, 3.0, True, remove, 0.0, entropy, 48, 6.014, 84.50
5, 3.0, True, remove, 0.0, depth, 48, 6.451, 86.00
5, 5.0, True, remove, 0.0, entropy, 48, 6.917, 83.50
5, 5.0, True, remove, 0.0, depth, 48, 7.360, 85.10
7, 0.1, True, remove, 0.0, entropy, 48, 1.330, 83.60
7, 0.1, True, remove, 0.0, depth, 48, 1.785, 82.90
7, 0.5, True, remove, 0.0, entropy, 48, 2.304, 84.50
7, 0.5, True, remove, 0.0, depth, 48, 2.756, 84.20
7, 0.33, True, remove, 0.0, entropy, 48, 3.218, 84.80
7, 0.33, True, remove, 0.0, depth, 48, 3.670, 83.60
7, 0.75, True, remove, 0.0, entropy, 48, 4.138, 85.20
7, 0.75, True, remove, 0.0, depth, 48, 4.587, 84.30
7, 1.0, True, remove, 0.0, entropy, 48, 5.050, 85.20
7, 1.0, True, remove, 0.0, depth, 48, 5.501, 84.70
7, 3.0, True, remove, 0.0, entropy, 48, 5.954, 85.40
7, 3.0, True, remove, 0.0, depth, 48, 6.386, 85.50
7, 5.0, True, remove, 0.0, entropy, 48, 6.858, 84.70
7, 5.0, True, remove, 0.0, depth, 48, 7.308, 85.10
10, 0.1, True, remove, 0.0, entropy, 48, 1.787, 83.50
10, 0.1, True, remove, 0.0, depth, 48, 2.288, 83.10
10, 0.5, True, remove, 0.0, entropy, 48, 2.756, 84.90
10, 0.5, True, remove, 0.0, depth, 48, 3.217, 83.60
10, 0.33, True, remove, 0.0, entropy, 48, 3.683, 84.40
10, 0.33, True, remove, 0.0, depth, 48, 4.131, 83.30
10, 0.75, True, remove, 0.0, entropy, 48, 4.589, 85.60
10, 0.75, True, remove, 0.0, depth, 48, 5.046, 84.70
10, 1.0, True, remove, 0.0, entropy, 48, 5.514, 86.00
10, 1.0, True, remove, 0.0, depth, 48, 5.966, 85.10
