-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, False, remove, 0.0, entropy, 48, 5.155, 73.74
1, 0.1, False, remove, 0.0, depth, 48, 8.352, 73.61
1, 0.5, False, remove, 0.0, entropy, 48, 11.637, 74.40
1, 0.5, False, remove, 0.0, depth, 48, 14.845, 74.02
1, 0.33, False, remove, 0.0, entropy, 48, 18.204, 74.02
1, 0.33, False, remove, 0.0, depth, 48, 21.392, 73.64
1, 0.75, False, remove, 0.0, entropy, 48, 24.703, 74.05
1, 0.75, False, remove, 0.0, depth, 48, 27.932, 74.08
1, 1.0, False, remove, 0.0, entropy, 48, 31.234, 73.77
1, 1.0, False, remove, 0.0, depth, 48, 34.426, 74.05
1, 3.0, False, remove, 0.0, entropy, 48, 37.680, 73.17
1, 3.0, False, remove, 0.0, depth, 48, 40.886, 73.67
1, 5.0, False, remove, 0.0, entropy, 48, 44.305, 72.16
1, 5.0, False, remove, 0.0, depth, 48, 47.537, 73.04
3, 0.1, False, remove, 0.0, entropy, 48, 7.887, 81.69
3, 0.1, False, remove, 0.0, depth, 48, 11.194, 81.63
3, 0.5, False, remove, 0.0, entropy, 48, 14.652, 81.72
3, 0.5, False, remove, 0.0, depth, 48, 18.012, 81.82
3, 0.33, False, remove, 0.0, entropy, 48, 21.392, 81.72
3, 0.33, False, remove, 0.0, depth, 48, 24.769, 81.79
3, 0.75, False, remove, 0.0, entropy, 48, 28.151, 81.76
3, 0.75, False, remove, 0.0, depth, 48, 31.467, 81.63
3, 1.0, False, remove, 0.0, entropy, 48, 34.822, 81.16
3, 1.0, False, remove, 0.0, depth, 48, 38.185, 81.50
3, 3.0, False, remove, 0.0, entropy, 48, 41.606, 80.05
3, 3.0, False, remove, 0.0, depth, 48, 44.924, 80.81
3, 5.0, False, remove, 0.0, entropy, 48, 48.362, 79.32
3, 5.0, False, remove, 0.0, depth, 48, 51.654, 80.24
5, 0.1, False, remove, 0.0, entropy, 48, 8.312, 82.48
5, 0.1, False, remove, 0.0, depth, 48, 11.687, 82.48
5, 0.5, False, remove, 0.0, entropy, 48, 15.150, 82.13
5, 0.5, False, remove, 0.0, depth, 48, 18.550, 82.10
5, 0.33, False, remove, 0.0, entropy, 48, 22.037, 82.32
5, 0.33, False, remove, 0.0, depth, 48, 25.436, 82.29
5, 0.75, False, remove, 0.0, entropy, 48, 28.912, 82.20
5, 0.75, False, remove, 0.0, depth, 48, 32.357, 82.10
5, 1.0, False, remove, 0.0, entropy, 48, 35.783, 81.88
5, 1.0, False, remove, 0.0, depth, 48, 39.187, 82.10
5, 3.0, False, remove, 0.0, entropy, 48, 42.653, 81.31
5, 3.0, False, remove, 0.0, depth, 48, 46.011, 81.53
5, 5.0, False, remove, 0.0, entropy, 48, 49.451, 80.81
5, 5.0, False, remove, 0.0, depth, 48, 52.821, 81.16
7, 0.1, False, remove, 0.0, entropy, 48, 8.500, 82.58
7, 0.1, False, remove, 0.0, depth, 48, 11.926, 82.51
7, 0.5, False, remove, 0.0, entropy, 48, 15.418, 82.48
7, 0.5, False, remove, 0.0, depth, 48, 18.815, 82.48
7, 0.33, False, remove, 0.0, entropy, 48, 22.311, 82.51
7, 0.33, False, remove, 0.0, depth, 48, 25.804, 82.42
7, 0.75, False, remove, 0.0, entropy, 48, 29.324, 82.48
7, 0.75, False, remove, 0.0, depth, 48, 32.710, 82.51
7, 1.0, False, remove, 0.0, entropy, 48, 36.250, 82.61
7, 1.0, False, remove, 0.0, depth, 48, 39.662, 82.42
7, 3.0, False, remove, 0.0, entropy, 48, 43.125, 81.98
7, 3.0, False, remove, 0.0, depth, 48, 46.537, 82.42
7, 5.0, False, remove, 0.0, entropy, 48, 50.047, 81.63
7, 5.0, False, remove, 0.0, depth, 48, 53.534, 82.07
10, 0.1, False, remove, 0.0, entropy, 48, 11.640, 82.77
10, 0.1, False, remove, 0.0, depth, 48, 15.130, 82.45
10, 0.5, False, remove, 0.0, entropy, 48, 18.676, 82.80
10, 0.5, False, remove, 0.0, depth, 48, 22.121, 82.70
10, 0.33, False, remove, 0.0, entropy, 48, 25.684, 82.61
10, 0.33, False, remove, 0.0, depth, 48, 29.160, 82.70
10, 0.75, False, remove, 0.0, entropy, 48, 32.722, 82.99
10, 0.75, False, remove, 0.0, depth, 48, 36.147, 82.95
10, 1.0, False, remove, 0.0, entropy, 48, 39.643, 82.92
10, 1.0, False, remove, 0.0, depth, 48, 43.134, 83.02
10, 3.0, False, remove, 0.0, entropy, 48, 46.703, 82.89
10, 3.0, False, remove, 0.0, depth, 48, 50.154, 83.21
10, 5.0, False, remove, 0.0, entropy, 48, 53.698, 82.48
10, 5.0, False, remove, 0.0, depth, 48, 57.136, 83.02
1, 0.1, False, remove, 0.25, entropy, 48, 5.379, 76.89
1, 0.1, False, remove, 0.25, depth, 48, 8.689, 76.52
1, 0.5, False, remove, 0.25, entropy, 48, 12.030, 76.42
1, 0.5, False, remove, 0.25, depth, 48, 15.286, 76.86
1, 0.33, False, remove, 0.25, entropy, 48, 18.671, 76.61
1, 0.33, False, remove, 0.25, depth, 48, 21.863, 76.93
1, 0.75, False, remove, 0.25, entropy, 48, 25.108, 76.10
1, 0.75, False, remove, 0.25, depth, 48, 28.303, 76.70
1, 1.0, False, remove, 0.25, entropy, 48, 31.637, 76.29
1, 1.0, False, remove, 0.25, depth, 48, 34.925, 76.45
1, 3.0, False, remove, 0.25, entropy, 48, 38.203, 74.59
1, 3.0, False, remove, 0.25, depth, 48, 41.487, 76.01
1, 5.0, False, remove, 0.25, entropy, 48, 44.747, 73.90
1, 5.0, False, remove, 0.25, depth, 48, 47.997, 75.32
3, 0.1, False, remove, 0.25, entropy, 48, 7.908, 81.72
3, 0.1, False, remove, 0.25, depth, 48, 11.286, 81.63
3, 0.5, False, remove, 0.25, entropy, 48, 14.717, 81.72
3, 0.5, False, remove, 0.25, depth, 48, 18.019, 81.60
3, 0.33, False, remove, 0.25, entropy, 48, 21.408, 81.72
3, 0.33, False, remove, 0.25, depth, 48, 24.740, 81.57
3, 0.75, False, remove, 0.25, entropy, 48, 28.145, 81.53
3, 0.75, False, remove, 0.25, depth, 48, 31.506, 81.72
3, 1.0, False, remove, 0.25, entropy, 48, 34.916, 81.31
3, 1.0, False, remove, 0.25, depth, 48, 38.253, 81.66
3, 3.0, False, remove, 0.25, entropy, 48, 41.648, 80.33
3, 3.0, False, remove, 0.25, depth, 48, 44.963, 81.22
3, 5.0, False, remove, 0.25, entropy, 48, 48.334, 79.45
3, 5.0, False, remove, 0.25, depth, 48, 51.651, 80.71
5, 0.1, False, remove, 0.25, entropy, 48, 8.271, 82.54
5, 0.1, False, remove, 0.25, depth, 48, 11.676, 82.61
5, 0.5, False, remove, 0.25, entropy, 48, 15.115, 82.64
5, 0.5, False, remove, 0.25, depth, 48, 18.451, 82.58
5, 0.33, False, remove, 0.25, entropy, 48, 21.903, 82.51
5, 0.33, False, remove, 0.25, depth, 48, 25.282, 82.58
5, 0.75, False, remove, 0.25, entropy, 48, 28.765, 82.45
5, 0.75, False, remove, 0.25, depth, 48, 32.199, 82.70
5, 1.0, False, remove, 0.25, entropy, 48, 35.653, 82.54
