-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, False, remove, 0.0, entropy, 48, 5.500, 78.68
1, 0.1, False, remove, 0.0, depth, 48, 8.911, 78.56
1, 0.5, False, remove, 0.0, entropy, 48, 12.415, 79.41
1, 0.5, False, remove, 0.0, depth, 48, 15.845, 78.83
1, 0.33, False, remove, 0.0, entropy, 48, 19.395, 79.41
1, 0.33, False, remove, 0.0, depth, 48, 22.825, 78.91
1, 0.75, False, remove, 0.0, entropy, 48, 26.279, 79.24
1, 0.75, False, remove, 0.0, depth, 48, 29.694, 78.65
1, 1.0, False, remove, 0.0, entropy, 48, 33.220, 78.89
1, 1.0, False, remove, 0.0, depth, 48, 36.627, 78.39
1, 3.0, False, remove, 0.0, entropy, 48, 40.096, 75.75
1, 3.0, False, remove, 0.0, depth, 48, 43.575, 76.63
1, 5.0, False, remove, 0.0, entropy, 48, 47.054, 73.61
1, 5.0, False, remove, 0.0, depth, 48, 50.492, 74.96
3, 0.1, False, remove, 0.0, entropy, 48, 8.403, 86.98
3, 0.1, False, remove, 0.0, depth, 48, 11.992, 87.30
3, 0.5, False, remove, 0.0, entropy, 48, 15.640, 87.33
3, 0.5, False, remove, 0.0, depth, 48, 19.262, 87.39
3, 0.33, False, remove, 0.0, entropy, 48, 22.908, 87.51
3, 0.33, False, remove, 0.0, depth, 48, 26.458, 87.54
3, 0.75, False, remove, 0.0, entropy, 48, 30.181, 87.04
3, 0.75, False, remove, 0.0, depth, 48, 33.754, 87.33
3, 1.0, False, remove, 0.0, entropy, 48, 37.369, 86.48
3, 1.0, False, remove, 0.0, depth, 48, 40.968, 87.13
3, 3.0, False, remove, 0.0, entropy, 48, 44.591, 84.78
3, 3.0, False, remove, 0.0, depth, 48, 48.134, 85.98
3, 5.0, False, remove, 0.0, entropy, 48, 51.777, 83.46
3, 5.0, False, remove, 0.0, depth, 48, 55.328, 84.60
5, 0.1, False, remove, 0.0, entropy, 48, 8.890, 88.80
5, 0.1, False, remove, 0.0, depth, 48, 12.510, 88.68
5, 0.5, False, remove, 0.0, entropy, 48, 16.162, 88.62
5, 0.5, False, remove, 0.0, depth, 48, 19.767, 88.83
5, 0.33, False, remove, 0.0, entropy, 48, 23.450, 88.59
5, 0.33, False, remove, 0.0, depth, 48, 27.085, 88.74
