-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, False, remove, 0.0, depth, 48, 57.128, 61.56
1, 0.1, False, remove, 0.0, entropy, 48, 103.130, 63.67
1, 0.5, False, remove, 0.0, depth, 48, 147.057, 44.40
1, 0.5, False, remove, 0.0, entropy, 48, 192.925, 49.41
1, 0.33, False, remove, 0.0, depth, 48, 236.817, 49.73
1, 0.33, False, remove, 0.0, entropy, 48, 283.278, 54.71
1, 0.75, False, remove, 0.0, depth, 48, 327.270, 39.34
1, 0.75, False, remove, 0.0, entropy, 48, 373.171, 44.56
1, 1.0, False, remove, 0.0, depth, 48, 417.092, 35.01
1, 1.0, False, remove, 0.0, entropy, 48, 462.902, 40.92
1, 3.0, False, remove, 0.0, depth, 48, 506.914, 22.97
1, 3.0, False, remove, 0.0, entropy, 48, 552.834, 25.74
1, 5.0, False, remove, 0.0, depth, 48, 596.727, 20.16
1, 5.0, False, remove, 0.0, entropy, 48, 642.670, 22.49
3, 0.1, False, remove, 0.0, depth, 48, 82.307, 69.47
3, 0.1, False, remove, 0.0, entropy, 48, 133.340, 69.92
3, 0.5, False, remove, 0.0, depth, 48, 182.277, 56.32
3, 0.5, False, remove, 0.0, entropy, 48, 233.080, 58.03
3, 0.33, False, remove, 0.0, depth, 48, 281.971, 60.98
3, 0.33, False, remove, 0.0, entropy, 48, 332.982, 62.37
3, 0.75, False, remove, 0.0, depth, 48, 381.907, 51.08
3, 0.75, False, remove, 0.0, entropy, 48, 432.826, 53.24
3, 1.0, False, remove, 0.0, depth, 48, 481.675, 46.25
3, 1.0, False, remove, 0.0, entropy, 48, 532.603, 49.41
3, 3.0, False, remove, 0.0, depth, 48, 581.581, 30.08
3, 3.0, False, remove, 0.0, entropy, 48, 632.435, 32.51
3, 5.0, False, remove, 0.0, depth, 48, 681.303, 24.01
3, 5.0, False, remove, 0.0, entropy, 48, 732.134, 26.12
5, 0.1, False, remove, 0.0, depth, 48, 90.892, 71.34
