-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, True, remove, 0.0, depth, 1, 45.116, 58.31
1, 0.1, True, remove, 0.0, entropy, 1, 81.977, 59.21
1, 0.5, True, remove, 0.0, depth, 1, 117.112, 60.65
1, 0.5, True, remove, 0.0, entropy, 1, 169.476, 62.24
1, 0.33, True, remove, 0.0, depth, 1, 246.308, 59.69
1, 0.33, True, remove, 0.0, entropy, 1, 302.831, 60.86
1, 0.75, True, remove, 0.0, depth, 1, 353.765, 61.76
1, 0.75, True, remove, 0.0, entropy, 1, 415.245, 62.98
1, 1.0, True, remove, 0.0, depth, 1, 455.037, 62.24
1, 1.0, True, remove, 0.0, entropy, 1, 495.135, 64.52
1, 3.0, True, remove, 0.0, depth, 1, 533.943, 64.79
1, 3.0, True, remove, 0.0, entropy, 1, 578.594, 67.13
1, 5.0, True, remove, 0.0, depth, 1, 620.797, 65.85
1, 5.0, True, remove, 0.0, entropy, 1, 663.719, 67.82
3, 0.1, True, remove, 0.0, depth, 1, 67.753, 62.13
3, 0.1, True, remove, 0.0, entropy, 1, 125.592, 62.72
3, 0.5, True, remove, 0.0, depth, 1, 171.949, 62.93
3, 0.5, True, remove, 0.0, entropy, 1, 221.111, 63.78
3, 0.33, True, remove, 0.0, depth, 1, 270.174, 62.83
3, 0.33, True, remove, 0.0, entropy, 1, 322.222, 63.52
3, 0.75, True, remove, 0.0, depth, 1, 373.079, 63.41
3, 0.75, True, remove, 0.0, entropy, 1, 442.966, 64.68
3, 1.0, True, remove, 0.0, depth, 1, 552.242, 63.52
3, 1.0, True, remove, 0.0, entropy, 1, 622.485, 65.27
3, 3.0, True, remove, 0.0, depth, 1, 677.605, 64.95
3, 3.0, True, remove, 0.0, entropy, 1, 735.586, 68.14
3, 5.0, True, remove, 0.0, depth, 1, 794.525, 66.06
3, 5.0, True, remove, 0.0, entropy, 1, 869.669, 68.35
5, 0.1, True, remove, 0.0, depth, 1, 91.087, 61.55
5, 0.1, True, remove, 0.0, entropy, 1, 171.698, 62.61
5, 0.5, True, remove, 0.0, depth, 1, 245.564, 62.56
5, 0.5, True, remove, 0.0, entropy, 1, 314.149, 64.10
5, 0.33, True, remove, 0.0, depth, 1, 392.329, 62.40
5, 0.33, True, remove, 0.0, entropy, 1, 469.421, 62.93
5, 0.75, True, remove, 0.0, depth, 1, 554.303, 63.41
5, 0.75, True, remove, 0.0, entropy, 1, 616.454, 64.63
5, 1.0, True, remove, 0.0, depth, 1, 675.322, 63.41
5, 1.0, True, remove, 0.0, entropy, 1, 733.196, 65.27
5, 3.0, True, remove, 0.0, depth, 1, 790.156, 65.06
5, 3.0, True, remove, 0.0, entropy, 1, 864.230, 68.08
5, 5.0, True, remove, 0.0, depth, 1, 946.737, 66.33
5, 5.0, True, remove, 0.0, entropy, 1, 1016.257, 69.57
7, 0.1, True, remove, 0.0, depth, 1, 97.328, 63.25
7, 0.1, True, remove, 0.0, entropy, 1, 166.654, 63.99
7, 0.5, True, remove, 0.0, depth, 1, 229.722, 64.37
7, 0.5, True, remove, 0.0, entropy, 1, 295.942, 65.48
7, 0.33, True, remove, 0.0, depth, 1, 365.533, 64.37
7, 0.33, True, remove, 0.0, entropy, 1, 436.453, 64.58
