-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, False, remove, 0.0, entropy, 48, 6.437, 75.84
1, 0.1, False, remove, 0.0, depth, 48, 10.576, 73.87
1, 0.5, False, remove, 0.0, entropy, 48, 14.813, 78.53
1, 0.5, False, remove, 0.0, depth, 48, 18.917, 75.91
1, 0.33, False, remove, 0.0, entropy, 48, 23.152, 77.70
1, 0.33, False, remove, 0.0, depth, 48, 27.248, 75.57
1, 0.75, False, remove, 0.0, entropy, 48, 31.467, 78.99
1, 0.75, False, remove, 0.0, depth, 48, 35.608, 75.57
1, 1.0, False, remove, 0.0, entropy, 48, 39.792, 79.70
1, 1.0, False, remove, 0.0, depth, 48, 43.908, 75.52
1, 3.0, False, remove, 0.0, entropy, 48, 48.092, 80.25
1, 3.0, False, remove, 0.0, depth, 48, 52.265, 72.64
1, 5.0, False, remove, 0.0, entropy, 48, 56.443, 78.99
1, 5.0, False, remove, 0.0, depth, 48, 60.586, 70.39
3, 0.1, False, remove, 0.0, entropy, 48, 9.703, 69.54
3, 0.1, False, remove, 0.0, depth, 48, 13.953, 67.62
3, 0.5, False, remove, 0.0, entropy, 48, 18.317, 73.95
3, 0.5, False, remove, 0.0, depth, 48, 22.578, 69.70
3, 0.33, False, remove, 0.0, entropy, 48, 26.917, 72.65
3, 0.33, False, remove, 0.0, depth, 48, 31.158, 69.10
3, 0.75, False, remove, 0.0, entropy, 48, 35.533, 75.17
3, 0.75, False, remove, 0.0, depth, 48, 39.780, 70.19
3, 1.0, False, remove, 0.0, entropy, 48, 44.129, 75.93
3, 1.0, False, remove, 0.0, depth, 48, 48.413, 70.59
3, 3.0, False, remove, 0.0, entropy, 48, 52.802, 78.29
3, 3.0, False, remove, 0.0, depth, 48, 57.098, 70.12
3, 5.0, False, remove, 0.0, entropy, 48, 61.420, 78.34
3, 5.0, False, remove, 0.0, depth, 48, 65.689, 69.34
5, 0.1, False, remove, 0.0, entropy, 48, 10.007, 62.58
5, 0.1, False, remove, 0.0, depth, 48, 14.329, 59.90
5, 0.5, False, remove, 0.0, entropy, 48, 18.687, 67.43
5, 0.5, False, remove, 0.0, depth, 48, 23.017, 62.99
5, 0.33, False, remove, 0.0, entropy, 48, 27.388, 65.90
5, 0.33, False, remove, 0.0, depth, 48, 31.706, 61.74
5, 0.75, False, remove, 0.0, entropy, 48, 36.111, 69.73
5, 0.75, False, remove, 0.0, depth, 48, 40.434, 64.27
5, 1.0, False, remove, 0.0, entropy, 48, 44.841, 71.25
5, 1.0, False, remove, 0.0, depth, 48, 49.116, 65.24
5, 3.0, False, remove, 0.0, entropy, 48, 53.519, 76.23
5, 3.0, False, remove, 0.0, depth, 48, 57.826, 67.38
5, 5.0, False, remove, 0.0, entropy, 48, 62.183, 77.42
5, 5.0, False, remove, 0.0, depth, 48, 66.489, 67.20
7, 0.1, False, remove, 0.0, entropy, 48, 10.631, 55.69
7, 0.1, False, remove, 0.0, depth, 48, 15.009, 52.96
7, 0.5, False, remove, 0.0, entropy, 48, 19.421, 62.06
7, 0.5, False, remove, 0.0, depth, 48, 23.779, 57.06
7, 0.33, False, remove, 0.0, entropy, 48, 28.245, 59.81
7, 0.33, False, remove, 0.0, depth, 48, 32.652, 55.61
7, 0.75, False, remove, 0.0, entropy, 48, 37.085, 65.02
7, 0.75, False, remove, 0.0, depth, 48, 41.459, 58.75
7, 1.0, False, remove, 0.0, entropy, 48, 45.899, 67.03
7, 1.0, False, remove, 0.0, depth, 48, 50.258, 60.25
7, 3.0, False, remove, 0.0, entropy, 48, 54.734, 73.78
7, 3.0, False, remove, 0.0, depth, 48, 59.069, 63.78
7, 5.0, False, remove, 0.0, entropy, 48, 63.537, 74.86
7, 5.0, False, remove, 0.0, depth, 48, 67.852, 64.93
10, 0.1, False, remove, 0.0, entropy, 48, 13.794, 48.51
10, 0.1, False, remove, 0.0, depth, 48, 18.184, 45.57
10, 0.5, False, remove, 0.0, entropy, 48, 22.687, 55.42
10, 0.5, False, remove, 0.0, depth, 48, 27.096, 50.61
10, 0.33, False, remove, 0.0, entropy, 48, 31.533, 52.99
10, 0.33, False, remove, 0.0, depth, 48, 35.906, 48.85
10, 0.75, False, remove, 0.0, entropy, 48, 40.392, 58.61
10, 0.75, False, remove, 0.0, depth, 48, 44.823, 52.38
10, 1.0, False, remove, 0.0, entropy, 48, 49.283, 61.25
10, 1.0, False, remove, 0.0, depth, 48, 53.687, 53.78
10, 3.0, False, remove, 0.0, entropy, 48, 58.153, 69.93
10, 3.0, False, remove, 0.0, depth, 48, 62.542, 59.90
10, 5.0, False, remove, 0.0, entropy, 48, 67.024, 72.62
10, 5.0, False, remove, 0.0, depth, 48, 71.401, 61.60
1, 0.1, False, remove, 0.25, entropy, 48, 6.651, 70.74
1, 0.1, False, remove, 0.25, depth, 48, 10.845, 69.22
1, 0.5, False, remove, 0.25, entropy, 48, 15.060, 73.80
1, 0.5, False, remove, 0.25, depth, 48, 19.243, 71.20
1, 0.33, False, remove, 0.25, entropy, 48, 23.474, 72.74
1, 0.33, False, remove, 0.25, depth, 48, 27.650, 70.66
1, 0.75, False, remove, 0.25, entropy, 48, 31.863, 74.66
1, 0.75, False, remove, 0.25, depth, 48, 36.066, 71.27
1, 1.0, False, remove, 0.25, entropy, 48, 40.335, 75.30
1, 1.0, False, remove, 0.25, depth, 48, 44.501, 71.13
1, 3.0, False, remove, 0.25, entropy, 48, 48.761, 75.74
1, 3.0, False, remove, 0.25, depth, 48, 52.918, 69.00
1, 5.0, False, remove, 0.25, entropy, 48, 57.171, 74.90
1, 5.0, False, remove, 0.25, depth, 48, 61.350, 67.80
3, 0.1, False, remove, 0.25, entropy, 48, 9.855, 65.15
3, 0.1, False, remove, 0.25, depth, 48, 14.133, 63.19
3, 0.5, False, remove, 0.25, entropy, 48, 18.482, 69.93
3, 0.5, False, remove, 0.25, depth, 48, 22.774, 66.40
3, 0.33, False, remove, 0.25, entropy, 48, 27.101, 68.33
3, 0.33, False, remove, 0.25, depth, 48, 31.388, 65.17
3, 0.75, False, remove, 0.25, entropy, 48, 35.704, 71.67
3, 0.75, False, remove, 0.25, depth, 48, 39.984, 67.35
3, 1.0, False, remove, 0.25, entropy, 48, 44.314, 72.85
3, 1.0, False, remove, 0.25, depth, 48, 48.592, 67.55
3, 3.0, False, remove, 0.25, entropy, 48, 52.942, 76.32
3, 3.0, False, remove, 0.25, depth, 48, 57.220, 67.99
3, 5.0, False, remove, 0.25, entropy, 48, 61.570, 76.33
3, 5.0, False, remove, 0.25, depth, 48, 65.834, 67.33
5, 0.1, False, remove, 0.25, entropy, 48, 10.109, 58.77
5, 0.1, False, remove, 0.25, depth, 48, 14.419, 56.22
5, 0.5, False, remove, 0.25, entropy, 48, 18.892, 64.58
5, 0.5, False, remove, 0.25, depth, 48, 23.235, 59.95
5, 0.33, False, remove, 0.25, entropy, 48, 27.684, 62.35
5, 0.33, False, remove, 0.25, depth, 48, 32.038, 58.75
5, 0.75, False, remove, 0.25, entropy, 48, 36.450, 66.89
5, 0.75, False, remove, 0.25, depth, 48, 40.765, 61.05
5, 1.0, False, remove, 0.25, entropy, 48, 45.146, 68.67
5, 1.0, False, remove, 0.25, depth, 48, 49.485, 61.96
5, 3.0, False, remove, 0.25, entropy, 48, 53.911, 74.19
5, 3.0, False, remove, 0.25, depth, 48, 58.274, 64.73
5, 5.0, False, remove, 0.25, entropy, 48, 63.336, 75.34
5, 5.0, False, remove, 0.25, depth, 48, 67.716, 65.10
7, 0.1, False, remove, 0.25, entropy, 48, 10.761, 53.19
7, 0.1, False, remove, 0.25, depth, 48, 15.183, 50.54
7, 0.5, False, remove, 0.25, entropy, 48, 19.698, 59.98
7, 0.5, False, remove, 0.25, depth, 48, 24.108, 55.56
7, 0.33, False, remove, 0.25, entropy, 48, 28.610, 57.92
7, 0.33, False, remove, 0.25, depth, 48, 32.983, 53.94
7, 0.75, False, remove, 0.25, entropy, 48, 37.494, 62.77
7, 0.75, False, remove, 0.25, depth, 48, 41.891, 57.13
7, 1.0, False, remove, 0.25, entropy, 48, 46.371, 64.97
7, 1.0, False, remove, 0.25, depth, 48, 50.793, 58.31
7, 3.0, False, remove, 0.25, entropy, 48, 55.231, 72.03
7, 3.0, False, remove, 0.25, depth, 48, 59.639, 62.01
7, 5.0, False, remove, 0.25, entropy, 48, 64.091, 73.60
7, 5.0, False, remove, 0.25, depth, 48, 68.508, 63.19
10, 0.1, False, remove, 0.25, entropy, 48, 14.479, 46.57
10, 0.1, False, remove, 0.25, depth, 48, 18.946, 43.92
10, 0.5, False, remove, 0.25, entropy, 48, 23.481, 53.90
10, 0.5, False, remove, 0.25, depth, 48, 27.955, 49.14
10, 0.33, False, remove, 0.25, entropy, 48, 32.460, 51.13
10, 0.33, False, remove, 0.25, depth, 48, 36.877, 47.40
10, 0.75, False, remove, 0.25, entropy, 48, 41.402, 57.13
10, 0.75, False, remove, 0.25, depth, 48, 45.806, 50.78
10, 1.0, False, remove, 0.25, entropy, 48, 50.303, 59.59
10, 1.0, False, remove, 0.25, depth, 48, 54.737, 52.52
10, 3.0, False, remove, 0.25, entropy, 48, 59.246, 68.31
10, 3.0, False, remove, 0.25, depth, 48, 63.642, 58.51
10, 5.0, False, remove, 0.25, entropy, 48, 68.142, 71.32
10, 5.0, False, remove, 0.25, depth, 48, 72.565, 60.20
1, 0.1, False, remove, 0.1, entropy, 48, 6.519, 72.99
1, 0.1, False, remove, 0.1, depth, 48, 10.687, 71.06
1, 0.5, False, remove, 0.1, entropy, 48, 14.953, 75.35
1, 0.5, False, remove, 0.1, depth, 48, 19.102, 72.72
1, 0.33, False, remove, 0.1, entropy, 48, 23.418, 74.71
