-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, False, remove, 0.0, entropy, 48, 5.770, 79.71
1, 0.1, False, remove, 0.0, depth, 48, 9.450, 77.97
1, 0.5, False, remove, 0.0, entropy, 48, 13.235, 82.16
1, 0.5, False, remove, 0.0, depth, 48, 16.935, 78.95
1, 0.33, False, remove, 0.0, entropy, 48, 20.722, 81.35
1, 0.33, False, remove, 0.0, depth, 48, 24.444, 78.88
1, 0.75, False, remove, 0.0, entropy, 48, 28.258, 82.68
1, 0.75, False, remove, 0.0, depth, 48, 31.975, 78.90
1, 1.0, False, remove, 0.0, entropy, 48, 35.758, 82.76
1, 1.0, False, remove, 0.0, depth, 48, 39.451, 78.59
1, 3.0, False, remove, 0.0, entropy, 48, 43.256, 82.85
1, 3.0, False, remove, 0.0, depth, 48, 46.981, 75.11
1, 5.0, False, remove, 0.0, entropy, 48, 50.809, 82.14
1, 5.0, False, remove, 0.0, depth, 48, 54.538, 72.64
3, 0.1, False, remove, 0.0, entropy, 48, 8.661, 72.60
3, 0.1, False, remove, 0.0, depth, 48, 12.625, 70.45
3, 0.5, False, remove, 0.0, entropy, 48, 16.581, 77.11
3, 0.5, False, remove, 0.0, depth, 48, 20.433, 73.17
3, 0.33, False, remove, 0.0, entropy, 48, 24.379, 75.84
3, 0.33, False, remove, 0.0, depth, 48, 28.195, 72.30
3, 0.75, False, remove, 0.0, entropy, 48, 32.179, 78.91
3, 0.75, False, remove, 0.0, depth, 48, 36.026, 73.45
3, 1.0, False, remove, 0.0, entropy, 48, 39.979, 79.69
3, 1.0, False, remove, 0.0, depth, 48, 43.826, 74.00
3, 3.0, False, remove, 0.0, entropy, 48, 47.746, 81.82
3, 3.0, False, remove, 0.0, depth, 48, 51.578, 73.07
3, 5.0, False, remove, 0.0, entropy, 48, 55.545, 81.93
3, 5.0, False, remove, 0.0, depth, 48, 59.433, 71.92
5, 0.1, False, remove, 0.0, entropy, 48, 9.235, 65.86
5, 0.1, False, remove, 0.0, depth, 48, 13.126, 62.35
5, 0.5, False, remove, 0.0, entropy, 48, 17.157, 71.26
5, 0.5, False, remove, 0.0, depth, 48, 21.055, 66.01
5, 0.33, False, remove, 0.0, entropy, 48, 25.062, 69.29
5, 0.33, False, remove, 0.0, depth, 48, 28.948, 64.82
5, 0.75, False, remove, 0.0, entropy, 48, 32.960, 73.37
5, 0.75, False, remove, 0.0, depth, 48, 36.879, 67.48
5, 1.0, False, remove, 0.0, entropy, 48, 40.862, 75.32
5, 1.0, False, remove, 0.0, depth, 48, 44.765, 68.49
5, 3.0, False, remove, 0.0, entropy, 48, 48.746, 79.91
5, 3.0, False, remove, 0.0, depth, 48, 52.631, 70.17
5, 5.0, False, remove, 0.0, entropy, 48, 56.612, 80.59
5, 5.0, False, remove, 0.0, depth, 48, 60.504, 70.02
7, 0.1, False, remove, 0.0, entropy, 48, 9.599, 58.15
7, 0.1, False, remove, 0.0, depth, 48, 13.529, 54.98
7, 0.5, False, remove, 0.0, entropy, 48, 17.583, 65.76
7, 0.5, False, remove, 0.0, depth, 48, 21.516, 60.07
7, 0.33, False, remove, 0.0, entropy, 48, 25.551, 62.90
7, 0.33, False, remove, 0.0, depth, 48, 29.480, 58.41
7, 0.75, False, remove, 0.0, entropy, 48, 33.497, 68.85
7, 0.75, False, remove, 0.0, depth, 48, 37.442, 61.79
7, 1.0, False, remove, 0.0, entropy, 48, 41.488, 70.91
7, 1.0, False, remove, 0.0, depth, 48, 45.422, 63.07
7, 3.0, False, remove, 0.0, entropy, 48, 49.459, 77.52
7, 3.0, False, remove, 0.0, depth, 48, 53.349, 67.08
7, 5.0, False, remove, 0.0, entropy, 48, 57.366, 78.95
7, 5.0, False, remove, 0.0, depth, 48, 61.284, 67.67
10, 0.1, False, remove, 0.0, entropy, 48, 12.499, 50.03
10, 0.1, False, remove, 0.0, depth, 48, 16.485, 47.11
10, 0.5, False, remove, 0.0, entropy, 48, 20.556, 58.15
10, 0.5, False, remove, 0.0, depth, 48, 24.538, 52.61
10, 0.33, False, remove, 0.0, entropy, 48, 28.591, 54.89
10, 0.33, False, remove, 0.0, depth, 48, 32.558, 50.41
10, 0.75, False, remove, 0.0, entropy, 48, 36.623, 61.71
10, 0.75, False, remove, 0.0, depth, 48, 40.600, 55.15
10, 1.0, False, remove, 0.0, entropy, 48, 44.694, 64.39
10, 1.0, False, remove, 0.0, depth, 48, 48.616, 56.94
10, 3.0, False, remove, 0.0, entropy, 48, 52.679, 73.88
10, 3.0, False, remove, 0.0, depth, 48, 56.611, 63.12
10, 5.0, False, remove, 0.0, entropy, 48, 60.659, 76.62
10, 5.0, False, remove, 0.0, depth, 48, 64.626, 64.82
1, 0.1, False, remove, 0.25, entropy, 48, 5.952, 74.05
1, 0.1, False, remove, 0.25, depth, 48, 9.723, 72.47
1, 0.5, False, remove, 0.25, entropy, 48, 13.532, 77.18
1, 0.5, False, remove, 0.25, depth, 48, 17.317, 74.22
1, 0.33, False, remove, 0.25, entropy, 48, 21.141, 76.03
1, 0.33, False, remove, 0.25, depth, 48, 24.927, 74.02
1, 0.75, False, remove, 0.25, entropy, 48, 28.738, 78.05
1, 0.75, False, remove, 0.25, depth, 48, 32.526, 74.26
1, 1.0, False, remove, 0.25, entropy, 48, 36.322, 78.71
1, 1.0, False, remove, 0.25, depth, 48, 40.112, 74.26
1, 3.0, False, remove, 0.25, entropy, 48, 43.945, 79.78
1, 3.0, False, remove, 0.25, depth, 48, 47.736, 71.79
1, 5.0, False, remove, 0.25, entropy, 48, 51.572, 78.84
1, 5.0, False, remove, 0.25, depth, 48, 55.370, 69.85
3, 0.1, False, remove, 0.25, entropy, 48, 8.834, 68.53
3, 0.1, False, remove, 0.25, depth, 48, 12.719, 66.25
3, 0.5, False, remove, 0.25, entropy, 48, 16.630, 73.86
3, 0.5, False, remove, 0.25, depth, 48, 20.506, 69.36
3, 0.33, False, remove, 0.25, entropy, 48, 24.449, 71.74
3, 0.33, False, remove, 0.25, depth, 48, 28.327, 68.42
3, 0.75, False, remove, 0.25, entropy, 48, 32.261, 76.28
3, 0.75, False, remove, 0.25, depth, 48, 36.107, 70.70
3, 1.0, False, remove, 0.25, entropy, 48, 40.000, 77.29
3, 1.0, False, remove, 0.25, depth, 48, 43.906, 71.36
3, 3.0, False, remove, 0.25, entropy, 48, 47.813, 80.33
3, 3.0, False, remove, 0.25, depth, 48, 51.705, 71.25
3, 5.0, False, remove, 0.25, entropy, 48, 55.592, 80.57
3, 5.0, False, remove, 0.25, depth, 48, 59.453, 70.10
5, 0.1, False, remove, 0.25, entropy, 48, 9.037, 62.03
5, 0.1, False, remove, 0.25, depth, 48, 12.982, 59.07
5, 0.5, False, remove, 0.25, entropy, 48, 16.944, 68.29
5, 0.5, False, remove, 0.25, depth, 48, 20.859, 63.37
5, 0.33, False, remove, 0.25, entropy, 48, 24.829, 66.38
5, 0.33, False, remove, 0.25, depth, 48, 28.739, 61.97
5, 0.75, False, remove, 0.25, entropy, 48, 32.709, 71.11
5, 0.75, False, remove, 0.25, depth, 48, 36.634, 64.69
5, 1.0, False, remove, 0.25, entropy, 48, 40.615, 72.94
5, 1.0, False, remove, 0.25, depth, 48, 44.543, 66.01
5, 3.0, False, remove, 0.25, entropy, 48, 48.515, 78.63
5, 3.0, False, remove, 0.25, depth, 48, 52.445, 68.21
5, 5.0, False, remove, 0.25, entropy, 48, 56.400, 79.48
5, 5.0, False, remove, 0.25, depth, 48, 60.312, 68.14
7, 0.1, False, remove, 0.25, entropy, 48, 9.673, 55.32
7, 0.1, False, remove, 0.25, depth, 48, 13.633, 52.20
7, 0.5, False, remove, 0.25, entropy, 48, 17.622, 63.22
7, 0.5, False, remove, 0.25, depth, 48, 21.559, 57.49
7, 0.33, False, remove, 0.25, entropy, 48, 25.627, 60.11
7, 0.33, False, remove, 0.25, depth, 48, 29.583, 55.44
7, 0.75, False, remove, 0.25, entropy, 48, 33.601, 66.25
