-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, True, remove, 0.0, depth, 1, 70.809, 62.64
1, 0.1, True, remove, 0.0, entropy, 1, 111.689, 63.30
1, 0.5, True, remove, 0.0, depth, 1, 144.620, 62.97
1, 0.5, True, remove, 0.0, entropy, 1, 179.238, 64.76
1, 0.33, True, remove, 0.0, depth, 1, 219.122, 63.13
1, 0.33, True, remove, 0.0, entropy, 1, 293.859, 63.62
1, 0.75, True, remove, 0.0, depth, 1, 344.203, 63.78
1, 0.75, True, remove, 0.0, entropy, 1, 394.609, 64.60
1, 1.0, True, remove, 0.0, depth, 1, 440.557, 63.46
1, 1.0, True, remove, 0.0, entropy, 1, 494.811, 63.95
1, 3.0, True, remove, 0.0, depth, 1, 530.388, 63.78
1, 3.0, True, remove, 0.0, entropy, 1, 568.426, 63.95
1, 5.0, True, remove, 0.0, depth, 1, 603.957, 63.62
1, 5.0, True, remove, 0.0, entropy, 1, 645.179, 63.78
3, 0.1, True, remove, 0.0, depth, 1, 51.389, 61.99
3, 0.1, True, remove, 0.0, entropy, 1, 97.758, 62.97
3, 0.5, True, remove, 0.0, depth, 1, 161.080, 63.95
3, 0.5, True, remove, 0.0, entropy, 1, 210.756, 64.44
3, 0.33, True, remove, 0.0, depth, 1, 252.195, 63.95
3, 0.33, True, remove, 0.0, entropy, 1, 296.613, 63.95
3, 0.75, True, remove, 0.0, depth, 1, 343.246, 64.11
3, 0.75, True, remove, 0.0, entropy, 1, 392.297, 65.58
3, 1.0, True, remove, 0.0, depth, 1, 438.734, 64.27
3, 1.0, True, remove, 0.0, entropy, 1, 491.791, 66.07
3, 3.0, True, remove, 0.0, depth, 1, 576.654, 64.93
3, 3.0, True, remove, 0.0, entropy, 1, 648.751, 66.39
3, 5.0, True, remove, 0.0, depth, 1, 706.625, 63.78
3, 5.0, True, remove, 0.0, entropy, 1, 759.422, 66.23
5, 0.1, True, remove, 0.0, depth, 1, 62.997, 62.48
5, 0.1, True, remove, 0.0, entropy, 1, 125.757, 62.64
5, 0.5, True, remove, 0.0, depth, 1, 196.809, 63.95
5, 0.5, True, remove, 0.0, entropy, 1, 264.534, 64.60
5, 0.33, True, remove, 0.0, depth, 1, 328.020, 62.64
5, 0.33, True, remove, 0.0, entropy, 1, 408.090, 63.95
