-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, False, remove, 0.0, depth, 48, 2.950, 65.49
1, 0.1, False, remove, 0.0, entropy, 48, 5.054, 66.39
1, 0.5, False, remove, 0.0, depth, 48, 7.189, 66.44
1, 0.5, False, remove, 0.0, entropy, 48, 9.280, 68.87
1, 0.33, False, remove, 0.0, depth, 48, 11.401, 66.11
1, 0.33, False, remove, 0.0, entropy, 48, 13.480, 67.99
1, 0.75, False, remove, 0.0, depth, 48, 15.606, 67.06
1, 0.75, False, remove, 0.0, entropy, 48, 17.732, 69.71
1, 1.0, False, remove, 0.0, depth, 48, 19.870, 67.38
1, 1.0, False, remove, 0.0, entropy, 48, 22.026, 70.35
1, 3.0, False, remove, 0.0, depth, 48, 24.146, 67.89
1, 3.0, False, remove, 0.0, entropy, 48, 26.327, 71.42
1, 5.0, False, remove, 0.0, depth, 48, 28.448, 67.97
1, 5.0, False, remove, 0.0, entropy, 48, 30.583, 71.57
3, 0.1, False, remove, 0.0, depth, 48, 3.883, 60.79
3, 0.1, False, remove, 0.0, entropy, 48, 6.059, 62.50
3, 0.5, False, remove, 0.0, depth, 48, 8.221, 63.78
3, 0.5, False, remove, 0.0, entropy, 48, 10.342, 66.08
3, 0.33, False, remove, 0.0, depth, 48, 12.537, 62.72
3, 0.33, False, remove, 0.0, entropy, 48, 14.663, 64.71
3, 0.75, False, remove, 0.0, depth, 48, 16.833, 64.59
3, 0.75, False, remove, 0.0, entropy, 48, 18.962, 67.36
3, 1.0, False, remove, 0.0, depth, 48, 21.096, 65.17
3, 1.0, False, remove, 0.0, entropy, 48, 23.235, 68.09
3, 3.0, False, remove, 0.0, depth, 48, 25.370, 66.79
3, 3.0, False, remove, 0.0, entropy, 48, 27.525, 71.08
3, 5.0, False, remove, 0.0, depth, 48, 29.619, 67.40
3, 5.0, False, remove, 0.0, entropy, 48, 31.809, 71.55
5, 0.1, False, remove, 0.0, depth, 48, 3.926, 57.35
5, 0.1, False, remove, 0.0, entropy, 48, 6.095, 58.43
5, 0.5, False, remove, 0.0, depth, 48, 8.217, 59.80
