-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, False, remove, 0.0, depth, 48, 2.646, 66.72
1, 0.1, False, remove, 0.0, entropy, 48, 4.558, 68.12
1, 0.5, False, remove, 0.0, depth, 48, 6.496, 68.23
1, 0.5, False, remove, 0.0, entropy, 48, 8.422, 70.85
1, 0.33, False, remove, 0.0, depth, 48, 10.379, 67.76
1, 0.33, False, remove, 0.0, entropy, 48, 12.283, 69.81
1, 0.75, False, remove, 0.0, depth, 48, 14.204, 68.66
1, 0.75, False, remove, 0.0, entropy, 48, 16.132, 71.91
1, 1.0, False, remove, 0.0, depth, 48, 18.075, 68.95
1, 1.0, False, remove, 0.0, entropy, 48, 19.971, 72.41
1, 3.0, False, remove, 0.0, depth, 48, 21.877, 69.68
1, 3.0, False, remove, 0.0, entropy, 48, 23.788, 73.92
1, 5.0, False, remove, 0.0, depth, 48, 25.733, 69.78
1, 5.0, False, remove, 0.0, entropy, 48, 27.644, 73.73
3, 0.1, False, remove, 0.0, depth, 48, 3.461, 62.65
3, 0.1, False, remove, 0.0, entropy, 48, 5.386, 64.52
3, 0.5, False, remove, 0.0, depth, 48, 7.340, 64.86
3, 0.5, False, remove, 0.0, entropy, 48, 9.271, 67.80
3, 0.33, False, remove, 0.0, depth, 48, 11.221, 64.31
3, 0.33, False, remove, 0.0, entropy, 48, 13.141, 66.84
3, 0.75, False, remove, 0.0, depth, 48, 15.090, 65.72
3, 0.75, False, remove, 0.0, entropy, 48, 17.011, 69.23
3, 1.0, False, remove, 0.0, depth, 48, 18.985, 66.50
3, 1.0, False, remove, 0.0, entropy, 48, 20.928, 70.13
3, 3.0, False, remove, 0.0, depth, 48, 22.897, 69.04
3, 3.0, False, remove, 0.0, entropy, 48, 24.826, 72.87
3, 5.0, False, remove, 0.0, depth, 48, 26.773, 69.12
3, 5.0, False, remove, 0.0, entropy, 48, 28.720, 73.36
5, 0.1, False, remove, 0.0, depth, 48, 3.560, 57.81
5, 0.1, False, remove, 0.0, entropy, 48, 5.491, 59.66
5, 0.5, False, remove, 0.0, depth, 48, 7.455, 60.90
5, 0.5, False, remove, 0.0, entropy, 48, 9.393, 64.03
5, 0.33, False, remove, 0.0, depth, 48, 11.348, 59.60
5, 0.33, False, remove, 0.0, entropy, 48, 13.297, 62.75
5, 0.75, False, remove, 0.0, depth, 48, 15.257, 61.81
5, 0.75, False, remove, 0.0, entropy, 48, 17.196, 65.39
5, 1.0, False, remove, 0.0, depth, 48, 19.149, 62.94
5, 1.0, False, remove, 0.0, entropy, 48, 21.084, 66.67
5, 3.0, False, remove, 0.0, depth, 48, 23.065, 66.61
5, 3.0, False, remove, 0.0, entropy, 48, 25.010, 71.11
5, 5.0, False, remove, 0.0, depth, 48, 26.963, 67.83
5, 5.0, False, remove, 0.0, entropy, 48, 28.916, 72.21
7, 0.1, False, remove, 0.0, depth, 48, 3.634, 54.27
7, 0.1, False, remove, 0.0, entropy, 48, 5.581, 56.38
7, 0.5, False, remove, 0.0, depth, 48, 7.549, 57.75
7, 0.5, False, remove, 0.0, entropy, 48, 9.491, 61.03
7, 0.33, False, remove, 0.0, depth, 48, 11.448, 56.62
7, 0.33, False, remove, 0.0, entropy, 48, 13.393, 59.22
7, 0.75, False, remove, 0.0, depth, 48, 15.372, 59.34
7, 0.75, False, remove, 0.0, entropy, 48, 17.330, 62.84
7, 1.0, False, remove, 0.0, depth, 48, 19.307, 60.20
7, 1.0, False, remove, 0.0, entropy, 48, 21.260, 64.48
7, 3.0, False, remove, 0.0, depth, 48, 23.229, 64.59
7, 3.0, False, remove, 0.0, entropy, 48, 25.183, 69.12
7, 5.0, False, remove, 0.0, depth, 48, 27.152, 66.08
7, 5.0, False, remove, 0.0, entropy, 48, 29.085, 70.83
10, 0.1, False, remove, 0.0, depth, 48, 4.557, 50.88
10, 0.1, False, remove, 0.0, entropy, 48, 6.531, 53.01
10, 0.5, False, remove, 0.0, depth, 48, 8.596, 54.53
10, 0.5, False, remove, 0.0, entropy, 48, 10.580, 57.60
10, 0.33, False, remove, 0.0, depth, 48, 12.561, 53.14
10, 0.33, False, remove, 0.0, entropy, 48, 14.539, 55.79
10, 0.75, False, remove, 0.0, depth, 48, 16.525, 55.89
10, 0.75, False, remove, 0.0, entropy, 48, 18.511, 59.69
10, 1.0, False, remove, 0.0, depth, 48, 20.528, 56.98
10, 1.0, False, remove, 0.0, entropy, 48, 22.495, 61.07
10, 3.0, False, remove, 0.0, depth, 48, 24.480, 61.62
10, 3.0, False, remove, 0.0, entropy, 48, 26.440, 66.89
10, 5.0, False, remove, 0.0, depth, 48, 28.436, 63.52
10, 5.0, False, remove, 0.0, entropy, 48, 30.392, 68.97
1, 0.1, False, remove, 0.25, depth, 48, 2.622, 64.09
1, 0.1, False, remove, 0.25, entropy, 48, 4.589, 65.33
1, 0.5, False, remove, 0.25, depth, 48, 6.494, 65.71
1, 0.5, False, remove, 0.25, entropy, 48, 8.457, 67.65
1, 0.33, False, remove, 0.25, depth, 48, 10.358, 65.31
1, 0.33, False, remove, 0.25, entropy, 48, 12.315, 66.91
1, 0.75, False, remove, 0.25, depth, 48, 14.241, 66.10
1, 0.75, False, remove, 0.25, entropy, 48, 16.229, 68.63
1, 1.0, False, remove, 0.25, depth, 48, 18.137, 66.78
1, 1.0, False, remove, 0.25, entropy, 48, 20.146, 69.51
1, 3.0, False, remove, 0.25, depth, 48, 22.072, 67.25
1, 3.0, False, remove, 0.25, entropy, 48, 24.036, 71.02
1, 5.0, False, remove, 0.25, depth, 48, 25.949, 67.42
1, 5.0, False, remove, 0.25, entropy, 48, 27.926, 71.17
3, 0.1, False, remove, 0.25, depth, 48, 3.517, 59.77
3, 0.1, False, remove, 0.25, entropy, 48, 5.488, 61.41
3, 0.5, False, remove, 0.25, depth, 48, 7.404, 62.30
3, 0.5, False, remove, 0.25, entropy, 48, 9.393, 64.88
3, 0.33, False, remove, 0.25, depth, 48, 11.303, 61.58
3, 0.33, False, remove, 0.25, entropy, 48, 13.277, 63.99
3, 0.75, False, remove, 0.25, depth, 48, 15.209, 63.24
3, 0.75, False, remove, 0.25, entropy, 48, 17.207, 66.35
3, 1.0, False, remove, 0.25, depth, 48, 19.156, 64.18
3, 1.0, False, remove, 0.25, entropy, 48, 21.113, 67.57
3, 3.0, False, remove, 0.25, depth, 48, 23.034, 66.52
3, 3.0, False, remove, 0.25, entropy, 48, 25.011, 71.09
3, 5.0, False, remove, 0.25, depth, 48, 26.938, 67.14
3, 5.0, False, remove, 0.25, entropy, 48, 28.895, 72.21
5, 0.1, False, remove, 0.25, depth, 48, 3.547, 54.83
5, 0.1, False, remove, 0.25, entropy, 48, 5.524, 56.68
5, 0.5, False, remove, 0.25, depth, 48, 7.460, 58.68
5, 0.5, False, remove, 0.25, entropy, 48, 9.441, 62.09
5, 0.33, False, remove, 0.25, depth, 48, 11.383, 57.32
5, 0.33, False, remove, 0.25, entropy, 48, 13.380, 60.24
5, 0.75, False, remove, 0.25, depth, 48, 15.335, 60.24
5, 0.75, False, remove, 0.25, entropy, 48, 17.300, 63.60
5, 1.0, False, remove, 0.25, depth, 48, 19.227, 61.32
5, 1.0, False, remove, 0.25, entropy, 48, 21.199, 65.03
5, 3.0, False, remove, 0.25, depth, 48, 23.120, 64.69
5, 3.0, False, remove, 0.25, entropy, 48, 25.104, 69.17
5, 5.0, False, remove, 0.25, depth, 48, 27.033, 65.91
5, 5.0, False, remove, 0.25, entropy, 48, 29.003, 70.40
7, 0.1, False, remove, 0.25, depth, 48, 3.650, 52.82
7, 0.1, False, remove, 0.25, entropy, 48, 5.633, 54.72
7, 0.5, False, remove, 0.25, depth, 48, 7.566, 55.81
7, 0.5, False, remove, 0.25, entropy, 48, 9.572, 59.20
7, 0.33, False, remove, 0.25, depth, 48, 11.508, 54.53
7, 0.33, False, remove, 0.25, entropy, 48, 13.464, 57.17
7, 0.75, False, remove, 0.25, depth, 48, 15.393, 57.21
7, 0.75, False, remove, 0.25, entropy, 48, 17.372, 61.41
7, 1.0, False, remove, 0.25, depth, 48, 19.345, 58.43
7, 1.0, False, remove, 0.25, entropy, 48, 21.308, 62.90
7, 3.0, False, remove, 0.25, depth, 48, 23.258, 62.92
7, 3.0, False, remove, 0.25, entropy, 48, 25.223, 67.57
