-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, True, remove, 0.0, entropy, 1, 21.824, 67.05
1, 0.1, True, remove, 0.0, depth, 1, 37.345, 66.39
1, 0.5, True, remove, 0.0, entropy, 1, 48.844, 68.03
1, 0.5, True, remove, 0.0, depth, 1, 56.679, 67.05
1, 0.33, True, remove, 0.0, entropy, 1, 67.173, 68.03
1, 0.33, True, remove, 0.0, depth, 1, 75.525, 66.72
1, 0.75, True, remove, 0.0, entropy, 1, 83.404, 67.37
1, 0.75, True, remove, 0.0, depth, 1, 89.801, 67.70
1, 1.0, True, remove, 0.0, entropy, 1, 98.253, 68.35
1, 1.0, True, remove, 0.0, depth, 1, 104.843, 67.70
1, 3.0, True, remove, 0.0, entropy, 1, 111.635, 71.94
1, 3.0, True, remove, 0.0, depth, 1, 117.808, 69.49
1, 5.0, True, remove, 0.0, entropy, 1, 124.390, 73.08
1, 5.0, True, remove, 0.0, depth, 1, 130.676, 71.13
3, 0.1, True, remove, 0.0, entropy, 1, 8.988, 70.47
3, 0.1, True, remove, 0.0, depth, 1, 16.170, 68.68
3, 0.5, True, remove, 0.0, entropy, 1, 24.122, 72.10
3, 0.5, True, remove, 0.0, depth, 1, 31.149, 70.80
3, 0.33, True, remove, 0.0, entropy, 1, 38.924, 71.94
3, 0.33, True, remove, 0.0, depth, 1, 46.362, 69.49
3, 0.75, True, remove, 0.0, entropy, 1, 54.403, 72.92
3, 0.75, True, remove, 0.0, depth, 1, 62.005, 70.80
3, 1.0, True, remove, 0.0, entropy, 1, 70.672, 72.92
3, 1.0, True, remove, 0.0, depth, 1, 83.407, 70.64
3, 3.0, True, remove, 0.0, entropy, 1, 103.282, 74.88
3, 3.0, True, remove, 0.0, depth, 1, 125.406, 72.27
3, 5.0, True, remove, 0.0, entropy, 1, 144.898, 74.88
3, 5.0, True, remove, 0.0, depth, 1, 160.468, 72.92
5, 0.1, True, remove, 0.0, entropy, 1, 16.622, 67.86
5, 0.1, True, remove, 0.0, depth, 1, 28.535, 67.05
5, 0.5, True, remove, 0.0, entropy, 1, 39.906, 69.49
5, 0.5, True, remove, 0.0, depth, 1, 55.570, 68.84
5, 0.33, True, remove, 0.0, entropy, 1, 69.299, 69.17
5, 0.33, True, remove, 0.0, depth, 1, 82.449, 68.84
5, 0.75, True, remove, 0.0, entropy, 1, 94.842, 70.96
5, 0.75, True, remove, 0.0, depth, 1, 105.760, 68.84
5, 1.0, True, remove, 0.0, entropy, 1, 117.732, 71.94
5, 1.0, True, remove, 0.0, depth, 1, 126.607, 69.00
5, 3.0, True, remove, 0.0, entropy, 1, 140.069, 72.92
5, 3.0, True, remove, 0.0, depth, 1, 151.791, 71.45
5, 5.0, True, remove, 0.0, entropy, 1, 168.665, 73.90
5, 5.0, True, remove, 0.0, depth, 1, 183.840, 72.76
7, 0.1, True, remove, 0.0, entropy, 1, 11.776, 68.84
7, 0.1, True, remove, 0.0, depth, 1, 21.550, 67.05
7, 0.5, True, remove, 0.0, entropy, 1, 31.434, 70.80
7, 0.5, True, remove, 0.0, depth, 1, 40.047, 68.52
7, 0.33, True, remove, 0.0, entropy, 1, 49.334, 70.47
7, 0.33, True, remove, 0.0, depth, 1, 57.837, 68.19
7, 0.75, True, remove, 0.0, entropy, 1, 67.172, 71.62
7, 0.75, True, remove, 0.0, depth, 1, 76.335, 69.49
7, 1.0, True, remove, 0.0, entropy, 1, 86.871, 71.62
7, 1.0, True, remove, 0.0, depth, 1, 95.930, 70.15
7, 3.0, True, remove, 0.0, entropy, 1, 105.853, 73.25
7, 3.0, True, remove, 0.0, depth, 1, 114.702, 72.76
7, 5.0, True, remove, 0.0, entropy, 1, 124.199, 74.23
7, 5.0, True, remove, 0.0, depth, 1, 133.283, 73.74
10, 0.1, True, remove, 0.0, entropy, 1, 14.257, 69.82
10, 0.1, True, remove, 0.0, depth, 1, 24.241, 69.33
10, 0.5, True, remove, 0.0, entropy, 1, 34.738, 72.10
10, 0.5, True, remove, 0.0, depth, 1, 45.242, 69.66
10, 0.33, True, remove, 0.0, entropy, 1, 56.571, 70.96
10, 0.33, True, remove, 0.0, depth, 1, 67.343, 69.66
10, 0.75, True, remove, 0.0, entropy, 1, 78.007, 71.78
10, 0.75, True, remove, 0.0, depth, 1, 88.312, 70.31
10, 1.0, True, remove, 0.0, entropy, 1, 99.677, 72.10
