-----TRAINING
---SEARCH FOR BEST SPA(s)
nb_iterations , gamma, include_prev_context, handle_N_setting, ratio, ensemble type, num_threads, time taken, accuracy
1, 0.1, False, remove, 0.0, entropy, 48, 6.680, 58.44
1, 0.1, False, remove, 0.0, depth, 48, 11.048, 58.40
1, 0.5, False, remove, 0.0, entropy, 48, 15.515, 58.42
1, 0.5, False, remove, 0.0, depth, 48, 19.821, 58.22
1, 0.33, False, remove, 0.0, entropy, 48, 24.268, 58.44
1, 0.33, False, remove, 0.0, depth, 48, 28.681, 58.20
1, 0.75, False, remove, 0.0, entropy, 48, 33.121, 58.33
1, 0.75, False, remove, 0.0, depth, 48, 37.455, 58.35
1, 1.0, False, remove, 0.0, entropy, 48, 41.878, 58.44
1, 1.0, False, remove, 0.0, depth, 48, 46.240, 58.35
1, 3.0, False, remove, 0.0, entropy, 48, 50.680, 58.00
1, 3.0, False, remove, 0.0, depth, 48, 55.063, 59.01
1, 5.0, False, remove, 0.0, entropy, 48, 59.521, 58.13
1, 5.0, False, remove, 0.0, depth, 48, 63.875, 59.43
3, 0.1, False, remove, 0.0, entropy, 48, 10.027, 59.91
3, 0.1, False, remove, 0.0, depth, 48, 14.603, 59.97
3, 0.5, False, remove, 0.0, entropy, 48, 19.222, 59.71
3, 0.5, False, remove, 0.0, depth, 48, 23.766, 59.62
3, 0.33, False, remove, 0.0, entropy, 48, 28.447, 59.49
3, 0.33, False, remove, 0.0, depth, 48, 33.019, 59.73
3, 0.75, False, remove, 0.0, entropy, 48, 37.688, 59.84
3, 0.75, False, remove, 0.0, depth, 48, 42.193, 60.02
3, 1.0, False, remove, 0.0, entropy, 48, 46.909, 59.91
3, 1.0, False, remove, 0.0, depth, 48, 51.499, 60.13
3, 3.0, False, remove, 0.0, entropy, 48, 56.137, 60.70
3, 3.0, False, remove, 0.0, depth, 48, 60.717, 60.61
3, 5.0, False, remove, 0.0, entropy, 48, 65.419, 60.74
3, 5.0, False, remove, 0.0, depth, 48, 70.039, 60.94
5, 0.1, False, remove, 0.0, entropy, 48, 10.669, 59.97
5, 0.1, False, remove, 0.0, depth, 48, 15.299, 59.75
5, 0.5, False, remove, 0.0, entropy, 48, 20.108, 60.04
5, 0.5, False, remove, 0.0, depth, 48, 24.738, 60.04
5, 0.33, False, remove, 0.0, entropy, 48, 29.531, 60.11
5, 0.33, False, remove, 0.0, depth, 48, 34.168, 59.80
5, 0.75, False, remove, 0.0, entropy, 48, 38.923, 60.02
5, 0.75, False, remove, 0.0, depth, 48, 43.582, 60.17
5, 1.0, False, remove, 0.0, entropy, 48, 48.378, 60.02
5, 1.0, False, remove, 0.0, depth, 48, 53.046, 60.28
5, 3.0, False, remove, 0.0, entropy, 48, 57.816, 60.68
5, 3.0, False, remove, 0.0, depth, 48, 62.456, 60.43
5, 5.0, False, remove, 0.0, entropy, 48, 67.225, 60.83
5, 5.0, False, remove, 0.0, depth, 48, 71.917, 60.87
7, 0.1, False, remove, 0.0, entropy, 48, 11.139, 60.30
7, 0.1, False, remove, 0.0, depth, 48, 15.834, 60.11
7, 0.5, False, remove, 0.0, entropy, 48, 20.631, 60.32
7, 0.5, False, remove, 0.0, depth, 48, 25.365, 60.21
7, 0.33, False, remove, 0.0, entropy, 48, 30.201, 60.02
7, 0.33, False, remove, 0.0, depth, 48, 34.874, 60.04
7, 0.75, False, remove, 0.0, entropy, 48, 39.710, 60.15
7, 0.75, False, remove, 0.0, depth, 48, 44.389, 60.35
7, 1.0, False, remove, 0.0, entropy, 48, 49.264, 60.28
7, 1.0, False, remove, 0.0, depth, 48, 53.971, 60.35
7, 3.0, False, remove, 0.0, entropy, 48, 58.773, 60.43
7, 3.0, False, remove, 0.0, depth, 48, 63.489, 60.06
7, 5.0, False, remove, 0.0, entropy, 48, 68.289, 60.68
7, 5.0, False, remove, 0.0, depth, 48, 72.989, 60.28
10, 0.1, False, remove, 0.0, entropy, 48, 14.586, 60.28
10, 0.1, False, remove, 0.0, depth, 48, 19.338, 60.17
10, 0.5, False, remove, 0.0, entropy, 48, 24.243, 60.46
10, 0.5, False, remove, 0.0, depth, 48, 29.069, 60.13
10, 0.33, False, remove, 0.0, entropy, 48, 34.048, 60.46
10, 0.33, False, remove, 0.0, depth, 48, 38.898, 60.08
10, 0.75, False, remove, 0.0, entropy, 48, 43.847, 60.59
10, 0.75, False, remove, 0.0, depth, 48, 48.695, 60.17
10, 1.0, False, remove, 0.0, entropy, 48, 53.614, 60.65
10, 1.0, False, remove, 0.0, depth, 48, 58.381, 60.43
10, 3.0, False, remove, 0.0, entropy, 48, 63.328, 60.72
10, 3.0, False, remove, 0.0, depth, 48, 68.119, 60.94
10, 5.0, False, remove, 0.0, entropy, 48, 73.031, 61.14
10, 5.0, False, remove, 0.0, depth, 48, 77.825, 60.98
1, 0.1, False, remove, 0.25, entropy, 48, 7.057, 58.70
1, 0.1, False, remove, 0.25, depth, 48, 11.466, 58.40
1, 0.5, False, remove, 0.25, entropy, 48, 16.032, 58.77
1, 0.5, False, remove, 0.25, depth, 48, 20.456, 59.03
1, 0.33, False, remove, 0.25, entropy, 48, 25.034, 58.72
1, 0.33, False, remove, 0.25, depth, 48, 29.467, 58.72
1, 0.75, False, remove, 0.25, entropy, 48, 34.044, 59.38
1, 0.75, False, remove, 0.25, depth, 48, 38.502, 59.40
1, 1.0, False, remove, 0.25, entropy, 48, 43.089, 59.36
1, 1.0, False, remove, 0.25, depth, 48, 47.588, 59.56
1, 3.0, False, remove, 0.25, entropy, 48, 52.211, 58.68
1, 3.0, False, remove, 0.25, depth, 48, 56.663, 59.10
1, 5.0, False, remove, 0.25, entropy, 48, 61.329, 59.01
1, 5.0, False, remove, 0.25, depth, 48, 65.842, 59.86
3, 0.1, False, remove, 0.25, entropy, 48, 10.412, 59.18
3, 0.1, False, remove, 0.25, depth, 48, 15.033, 59.18
3, 0.5, False, remove, 0.25, entropy, 48, 19.749, 59.64
3, 0.5, False, remove, 0.25, depth, 48, 24.388, 59.03
3, 0.33, False, remove, 0.25, entropy, 48, 29.128, 59.43
3, 0.33, False, remove, 0.25, depth, 48, 33.751, 59.05
3, 0.75, False, remove, 0.25, entropy, 48, 38.511, 59.64
3, 0.75, False, remove, 0.25, depth, 48, 43.161, 59.14
3, 1.0, False, remove, 0.25, entropy, 48, 47.905, 59.49
3, 1.0, False, remove, 0.25, depth, 48, 52.544, 59.27
3, 3.0, False, remove, 0.25, entropy, 48, 57.251, 60.00
3, 3.0, False, remove, 0.25, depth, 48, 61.885, 59.71
3, 5.0, False, remove, 0.25, entropy, 48, 66.601, 60.41
3, 5.0, False, remove, 0.25, depth, 48, 71.209, 60.26
5, 0.1, False, remove, 0.25, entropy, 48, 10.874, 59.64
5, 0.1, False, remove, 0.25, depth, 48, 15.568, 59.71
5, 0.5, False, remove, 0.25, entropy, 48, 20.428, 59.62
5, 0.5, False, remove, 0.25, depth, 48, 25.104, 59.97
5, 0.33, False, remove, 0.25, entropy, 48, 29.914, 59.67
5, 0.33, False, remove, 0.25, depth, 48, 34.651, 59.86
5, 0.75, False, remove, 0.25, entropy, 48, 39.461, 59.78
5, 0.75, False, remove, 0.25, depth, 48, 44.153, 60.11
5, 1.0, False, remove, 0.25, entropy, 48, 48.993, 59.64
5, 1.0, False, remove, 0.25, depth, 48, 53.650, 60.26
5, 3.0, False, remove, 0.25, entropy, 48, 58.492, 60.43
5, 3.0, False, remove, 0.25, depth, 48, 63.168, 60.04
5, 5.0, False, remove, 0.25, entropy, 48, 67.987, 60.28
5, 5.0, False, remove, 0.25, depth, 48, 72.696, 60.52
7, 0.1, False, remove, 0.25, entropy, 48, 11.295, 59.82
7, 0.1, False, remove, 0.25, depth, 48, 16.073, 59.91
7, 0.5, False, remove, 0.25, entropy, 48, 20.923, 59.86
7, 0.5, False, remove, 0.25, depth, 48, 25.706, 59.56
7, 0.33, False, remove, 0.25, entropy, 48, 30.581, 59.71
7, 0.33, False, remove, 0.25, depth, 48, 35.302, 59.45
7, 0.75, False, remove, 0.25, entropy, 48, 40.185, 60.06
7, 0.75, False, remove, 0.25, depth, 48, 44.911, 59.67
7, 1.0, False, remove, 0.25, entropy, 48, 49.797, 60.04
7, 1.0, False, remove, 0.25, depth, 48, 54.564, 60.24
7, 3.0, False, remove, 0.25, entropy, 48, 59.436, 60.43
7, 3.0, False, remove, 0.25, depth, 48, 64.184, 60.28
7, 5.0, False, remove, 0.25, entropy, 48, 69.042, 60.65
7, 5.0, False, remove, 0.25, depth, 48, 73.758, 60.74
10, 0.1, False, remove, 0.25, entropy, 48, 14.666, 60.08
10, 0.1, False, remove, 0.25, depth, 48, 19.470, 60.00
10, 0.5, False, remove, 0.25, entropy, 48, 24.409, 60.28
10, 0.5, False, remove, 0.25, depth, 48, 29.221, 60.00
10, 0.33, False, remove, 0.25, entropy, 48, 34.144, 60.19
10, 0.33, False, remove, 0.25, depth, 48, 39.010, 60.00
10, 0.75, False, remove, 0.25, entropy, 48, 43.918, 60.41
10, 0.75, False, remove, 0.25, depth, 48, 48.721, 60.11
10, 1.0, False, remove, 0.25, entropy, 48, 53.640, 60.54
10, 1.0, False, remove, 0.25, depth, 48, 58.412, 60.28
10, 3.0, False, remove, 0.25, entropy, 48, 63.370, 60.70
10, 3.0, False, remove, 0.25, depth, 48, 68.154, 60.43
10, 5.0, False, remove, 0.25, entropy, 48, 73.104, 60.59
10, 5.0, False, remove, 0.25, depth, 48, 77.904, 60.81
1, 0.1, False, remove, 0.1, entropy, 48, 6.886, 58.94
1, 0.1, False, remove, 0.1, depth, 48, 11.312, 58.77
1, 0.5, False, remove, 0.1, entropy, 48, 15.830, 59.27
1, 0.5, False, remove, 0.1, depth, 48, 20.257, 59.14
1, 0.33, False, remove, 0.1, entropy, 48, 24.784, 59.29
1, 0.33, False, remove, 0.1, depth, 48, 29.209, 58.77
1, 0.75, False, remove, 0.1, entropy, 48, 33.687, 59.27
1, 0.75, False, remove, 0.1, depth, 48, 38.086, 59.16
1, 1.0, False, remove, 0.1, entropy, 48, 42.602, 59.43
1, 1.0, False, remove, 0.1, depth, 48, 47.004, 59.10
1, 3.0, False, remove, 0.1, entropy, 48, 51.551, 59.43
1, 3.0, False, remove, 0.1, depth, 48, 55.979, 59.56
1, 5.0, False, remove, 0.1, entropy, 48, 60.519, 58.79
1, 5.0, False, remove, 0.1, depth, 48, 64.977, 59.54
3, 0.1, False, remove, 0.1, entropy, 48, 10.119, 59.95
3, 0.1, False, remove, 0.1, depth, 48, 14.697, 59.86
3, 0.5, False, remove, 0.1, entropy, 48, 19.335, 60.26
3, 0.5, False, remove, 0.1, depth, 48, 23.910, 60.32
3, 0.33, False, remove, 0.1, entropy, 48, 28.605, 60.48
3, 0.33, False, remove, 0.1, depth, 48, 33.185, 59.91
3, 0.75, False, remove, 0.1, entropy, 48, 37.904, 60.35
3, 0.75, False, remove, 0.1, depth, 48, 42.476, 60.21
3, 1.0, False, remove, 0.1, entropy, 48, 47.233, 60.17
3, 1.0, False, remove, 0.1, depth, 48, 51.863, 60.26
3, 3.0, False, remove, 0.1, entropy, 48, 56.559, 60.87
3, 3.0, False, remove, 0.1, depth, 48, 61.155, 60.37
3, 5.0, False, remove, 0.1, entropy, 48, 65.855, 61.05
3, 5.0, False, remove, 0.1, depth, 48, 70.445, 60.59
5, 0.1, False, remove, 0.1, entropy, 48, 10.882, 60.32
5, 0.1, False, remove, 0.1, depth, 48, 15.514, 60.35
5, 0.5, False, remove, 0.1, entropy, 48, 20.322, 60.57
5, 0.5, False, remove, 0.1, depth, 48, 24.961, 60.54
5, 0.33, False, remove, 0.1, entropy, 48, 29.729, 60.57
5, 0.33, False, remove, 0.1, depth, 48, 34.398, 60.61
5, 0.75, False, remove, 0.1, entropy, 48, 39.225, 60.72
5, 0.75, False, remove, 0.1, depth, 48, 43.918, 60.59
5, 1.0, False, remove, 0.1, entropy, 48, 48.729, 60.68
5, 1.0, False, remove, 0.1, depth, 48, 53.342, 60.63
5, 3.0, False, remove, 0.1, entropy, 48, 58.139, 60.61
5, 3.0, False, remove, 0.1, depth, 48, 62.796, 60.70
5, 5.0, False, remove, 0.1, entropy, 48, 67.585, 60.68
5, 5.0, False, remove, 0.1, depth, 48, 72.266, 61.18
7, 0.1, False, remove, 0.1, entropy, 48, 11.281, 60.37
7, 0.1, False, remove, 0.1, depth, 48, 16.019, 60.68
7, 0.5, False, remove, 0.1, entropy, 48, 20.866, 60.37
7, 0.5, False, remove, 0.1, depth, 48, 25.615, 60.43
7, 0.33, False, remove, 0.1, entropy, 48, 30.489, 60.52
7, 0.33, False, remove, 0.1, depth, 48, 35.191, 60.30
7, 0.75, False, remove, 0.1, entropy, 48, 40.052, 60.13
7, 0.75, False, remove, 0.1, depth, 48, 44.815, 60.39
7, 1.0, False, remove, 0.1, entropy, 48, 49.645, 60.35
7, 1.0, False, remove, 0.1, depth, 48, 54.449, 60.11
7, 3.0, False, remove, 0.1, entropy, 48, 59.266, 60.54
7, 3.0, False, remove, 0.1, depth, 48, 64.045, 60.52
7, 5.0, False, remove, 0.1, entropy, 48, 68.907, 60.54
7, 5.0, False, remove, 0.1, depth, 48, 73.612, 60.92
10, 0.1, False, remove, 0.1, entropy, 48, 14.576, 60.19
10, 0.1, False, remove, 0.1, depth, 48, 19.331, 60.19
10, 0.5, False, remove, 0.1, entropy, 48, 24.256, 60.35
10, 0.5, False, remove, 0.1, depth, 48, 29.008, 60.28
10, 0.33, False, remove, 0.1, entropy, 48, 33.885, 60.43
10, 0.33, False, remove, 0.1, depth, 48, 38.664, 60.26
10, 0.75, False, remove, 0.1, entropy, 48, 43.564, 60.19
10, 0.75, False, remove, 0.1, depth, 48, 48.327, 60.30
10, 1.0, False, remove, 0.1, entropy, 48, 53.249, 60.19
10, 1.0, False, remove, 0.1, depth, 48, 58.001, 60.30
10, 3.0, False, remove, 0.1, entropy, 48, 62.906, 60.41
10, 3.0, False, remove, 0.1, depth, 48, 67.737, 60.63
10, 5.0, False, remove, 0.1, entropy, 48, 72.757, 60.17
10, 5.0, False, remove, 0.1, depth, 48, 77.648, 60.68
1, 0.1, True, remove, 0.0, entropy, 48, 6.729, 57.91
1, 0.1, True, remove, 0.0, depth, 48, 11.091, 58.09
1, 0.5, True, remove, 0.0, entropy, 48, 15.584, 58.09
1, 0.5, True, remove, 0.0, depth, 48, 19.954, 58.13
1, 0.33, True, remove, 0.0, entropy, 48, 24.397, 58.11
1, 0.33, True, remove, 0.0, depth, 48, 28.759, 58.18
1, 0.75, True, remove, 0.0, entropy, 48, 33.179, 58.07
1, 0.75, True, remove, 0.0, depth, 48, 37.524, 58.31
1, 1.0, True, remove, 0.0, entropy, 48, 42.025, 58.29
1, 1.0, True, remove, 0.0, depth, 48, 46.357, 58.31
1, 3.0, True, remove, 0.0, entropy, 48, 50.839, 58.83
1, 3.0, True, remove, 0.0, depth, 48, 55.150, 59.32
1, 5.0, True, remove, 0.0, entropy, 48, 59.589, 58.72
1, 5.0, True, remove, 0.0, depth, 48, 63.927, 59.78
3, 0.1, True, remove, 0.0, entropy, 48, 9.947, 60.50
3, 0.1, True, remove, 0.0, depth, 48, 14.521, 60.41
3, 0.5, True, remove, 0.0, entropy, 48, 19.206, 59.89
3, 0.5, True, remove, 0.0, depth, 48, 23.804, 59.67
3, 0.33, True, remove, 0.0, entropy, 48, 28.530, 59.93
3, 0.33, True, remove, 0.0, depth, 48, 33.060, 59.89
3, 0.75, True, remove, 0.0, entropy, 48, 37.734, 59.82
3, 0.75, True, remove, 0.0, depth, 48, 42.264, 59.86
3, 1.0, True, remove, 0.0, entropy, 48, 46.909, 59.69
3, 1.0, True, remove, 0.0, depth, 48, 51.485, 59.97
3, 3.0, True, remove, 0.0, entropy, 48, 56.130, 60.50
3, 3.0, True, remove, 0.0, depth, 48, 60.695, 60.65
