GAMMA=0.3333333333333333, ENSEMBLE=depth, VAL_ACC=0.684
GAMMA=0.3333333333333333, ENSEMBLE=entropy, VAL_ACC=0.697
GAMMA=0.5, ENSEMBLE=depth, VAL_ACC=0.694
GAMMA=0.5, ENSEMBLE=entropy, VAL_ACC=0.705
GAMMA=1, ENSEMBLE=depth, VAL_ACC=0.699
GAMMA=1, ENSEMBLE=entropy, VAL_ACC=0.716
GAMMA=1.5, ENSEMBLE=depth, VAL_ACC=0.695
GAMMA=1.5, ENSEMBLE=entropy, VAL_ACC=0.715
GAMMA=2, ENSEMBLE=depth, VAL_ACC=0.694
GAMMA=2, ENSEMBLE=entropy, VAL_ACC=0.71
GAMMA=2.5, ENSEMBLE=depth, VAL_ACC=0.7
GAMMA=2.5, ENSEMBLE=entropy, VAL_ACC=0.712
GAMMA=3, ENSEMBLE=depth, VAL_ACC=0.696
GAMMA=3, ENSEMBLE=entropy, VAL_ACC=0.718
BEST_GAMMA_EPOCH=3, BEST_ENSEMBLE_EPOCH=entropy, BEST_VAL_ACC_EPOCH=0.718
GAMMA=0.3333333333333333, ENSEMBLE=depth, VAL_ACC=0.701
GAMMA=0.3333333333333333, ENSEMBLE=entropy, VAL_ACC=0.705
GAMMA=0.5, ENSEMBLE=depth, VAL_ACC=0.7
GAMMA=0.5, ENSEMBLE=entropy, VAL_ACC=0.715
GAMMA=1, ENSEMBLE=depth, VAL_ACC=0.705
GAMMA=1, ENSEMBLE=entropy, VAL_ACC=0.717
GAMMA=1.5, ENSEMBLE=depth, VAL_ACC=0.712
GAMMA=1.5, ENSEMBLE=entropy, VAL_ACC=0.715
GAMMA=2, ENSEMBLE=depth, VAL_ACC=0.708
GAMMA=2, ENSEMBLE=entropy, VAL_ACC=0.72
GAMMA=2.5, ENSEMBLE=depth, VAL_ACC=0.708
GAMMA=2.5, ENSEMBLE=entropy, VAL_ACC=0.719
GAMMA=3, ENSEMBLE=depth, VAL_ACC=0.71
GAMMA=3, ENSEMBLE=entropy, VAL_ACC=0.714
BEST_GAMMA_EPOCH=2, BEST_ENSEMBLE_EPOCH=entropy, BEST_VAL_ACC_EPOCH=0.72
GAMMA=0.3333333333333333, ENSEMBLE=depth, VAL_ACC=0.708
GAMMA=0.3333333333333333, ENSEMBLE=entropy, VAL_ACC=0.726
GAMMA=0.5, ENSEMBLE=depth, VAL_ACC=0.711
GAMMA=0.5, ENSEMBLE=entropy, VAL_ACC=0.727
GAMMA=1, ENSEMBLE=depth, VAL_ACC=0.72
GAMMA=1, ENSEMBLE=entropy, VAL_ACC=0.725
GAMMA=1.5, ENSEMBLE=depth, VAL_ACC=0.721
GAMMA=1.5, ENSEMBLE=entropy, VAL_ACC=0.734
GAMMA=2, ENSEMBLE=depth, VAL_ACC=0.715
GAMMA=2, ENSEMBLE=entropy, VAL_ACC=0.723
GAMMA=2.5, ENSEMBLE=depth, VAL_ACC=0.713
GAMMA=2.5, ENSEMBLE=entropy, VAL_ACC=0.719
GAMMA=3, ENSEMBLE=depth, VAL_ACC=0.719
GAMMA=3, ENSEMBLE=entropy, VAL_ACC=0.719
BEST_GAMMA_EPOCH=1.5, BEST_ENSEMBLE_EPOCH=entropy, BEST_VAL_ACC_EPOCH=0.734
GAMMA=0.3333333333333333, ENSEMBLE=depth, VAL_ACC=0.715
GAMMA=0.3333333333333333, ENSEMBLE=entropy, VAL_ACC=0.729
GAMMA=0.5, ENSEMBLE=depth, VAL_ACC=0.72
GAMMA=0.5, ENSEMBLE=entropy, VAL_ACC=0.729
GAMMA=1, ENSEMBLE=depth, VAL_ACC=0.721
GAMMA=1, ENSEMBLE=entropy, VAL_ACC=0.73
GAMMA=1.5, ENSEMBLE=depth, VAL_ACC=0.717
GAMMA=1.5, ENSEMBLE=entropy, VAL_ACC=0.727
GAMMA=2, ENSEMBLE=depth, VAL_ACC=0.722
GAMMA=2, ENSEMBLE=entropy, VAL_ACC=0.72
GAMMA=2.5, ENSEMBLE=depth, VAL_ACC=0.723
GAMMA=2.5, ENSEMBLE=entropy, VAL_ACC=0.723
GAMMA=3, ENSEMBLE=depth, VAL_ACC=0.723
GAMMA=3, ENSEMBLE=entropy, VAL_ACC=0.729
BEST_GAMMA_EPOCH=1, BEST_ENSEMBLE_EPOCH=entropy, BEST_VAL_ACC_EPOCH=0.73
GAMMA=0.3333333333333333, ENSEMBLE=depth, VAL_ACC=0.705
GAMMA=0.3333333333333333, ENSEMBLE=entropy, VAL_ACC=0.722
GAMMA=0.5, ENSEMBLE=depth, VAL_ACC=0.71
GAMMA=0.5, ENSEMBLE=entropy, VAL_ACC=0.727
GAMMA=1, ENSEMBLE=depth, VAL_ACC=0.71
GAMMA=1, ENSEMBLE=entropy, VAL_ACC=0.725
GAMMA=1.5, ENSEMBLE=depth, VAL_ACC=0.717
GAMMA=1.5, ENSEMBLE=entropy, VAL_ACC=0.729
GAMMA=2, ENSEMBLE=depth, VAL_ACC=0.72
GAMMA=2, ENSEMBLE=entropy, VAL_ACC=0.734
GAMMA=2.5, ENSEMBLE=depth, VAL_ACC=0.72
GAMMA=2.5, ENSEMBLE=entropy, VAL_ACC=0.73
GAMMA=3, ENSEMBLE=depth, VAL_ACC=0.731
GAMMA=3, ENSEMBLE=entropy, VAL_ACC=0.73
BEST_GAMMA_EPOCH=2, BEST_ENSEMBLE_EPOCH=entropy, BEST_VAL_ACC_EPOCH=0.734
GAMMA=0.3333333333333333, ENSEMBLE=depth, VAL_ACC=0.696
GAMMA=0.3333333333333333, ENSEMBLE=entropy, VAL_ACC=0.715
GAMMA=0.5, ENSEMBLE=depth, VAL_ACC=0.714
GAMMA=0.5, ENSEMBLE=entropy, VAL_ACC=0.727
GAMMA=1, ENSEMBLE=depth, VAL_ACC=0.719
GAMMA=1, ENSEMBLE=entropy, VAL_ACC=0.731
GAMMA=1.5, ENSEMBLE=depth, VAL_ACC=0.725
GAMMA=1.5, ENSEMBLE=entropy, VAL_ACC=0.732
GAMMA=2, ENSEMBLE=depth, VAL_ACC=0.725
GAMMA=2, ENSEMBLE=entropy, VAL_ACC=0.733
GAMMA=2.5, ENSEMBLE=depth, VAL_ACC=0.726
GAMMA=2.5, ENSEMBLE=entropy, VAL_ACC=0.735
GAMMA=3, ENSEMBLE=depth, VAL_ACC=0.731
GAMMA=3, ENSEMBLE=entropy, VAL_ACC=0.733
BEST_GAMMA_EPOCH=2.5, BEST_ENSEMBLE_EPOCH=entropy, BEST_VAL_ACC_EPOCH=0.735
GAMMA=0.3333333333333333, ENSEMBLE=depth, VAL_ACC=0.709
GAMMA=0.3333333333333333, ENSEMBLE=entropy, VAL_ACC=0.721
GAMMA=0.5, ENSEMBLE=depth, VAL_ACC=0.723
GAMMA=0.5, ENSEMBLE=entropy, VAL_ACC=0.732
GAMMA=1, ENSEMBLE=depth, VAL_ACC=0.735
GAMMA=1, ENSEMBLE=entropy, VAL_ACC=0.735
GAMMA=1.5, ENSEMBLE=depth, VAL_ACC=0.731
GAMMA=1.5, ENSEMBLE=entropy, VAL_ACC=0.732
GAMMA=2, ENSEMBLE=depth, VAL_ACC=0.727
GAMMA=2, ENSEMBLE=entropy, VAL_ACC=0.734
GAMMA=2.5, ENSEMBLE=depth, VAL_ACC=0.725
GAMMA=2.5, ENSEMBLE=entropy, VAL_ACC=0.731
GAMMA=3, ENSEMBLE=depth, VAL_ACC=0.723
GAMMA=3, ENSEMBLE=entropy, VAL_ACC=0.736
BEST_GAMMA_EPOCH=3, BEST_ENSEMBLE_EPOCH=entropy, BEST_VAL_ACC_EPOCH=0.736
